sampleID,decimalLatitude,decimalLongitude
MAD6,36.99113,-119.71252
MAD7,36.99071,-119.71309
MAD8,36.97017,-119.57995
MAD9,36.97009,-119.57908
MARA,37.46042,-119.87328
MARB,37.46111,-119.87971
MARC,37.45861,-119.90016
MARD,37.45851,-119.90107
MARG,37.45967,-119.90174
MC10,34.09454,-118.71642
MC10v,34.09538,-118.71702
MC11,34.09775,-118.71652
MC12,34.09797,-118.71558
MC13,34.09599,-118.71818
MC14,34.09787,-118.71385
MC7v,34.09801,-118.71552
MC8,34.09605,-118.71721
MCK2,39.25349,-122.95084
MCK3,39.25364,-122.95068
MCK4,39.25372,-122.95055
MCK5,39.25236,-122.95158
MCK8,39.24288,-122.94722
MCL2,38.87354,-122.42544
MCL4,38.86992,-122.4212
MCL7,38.87017,-122.42335
MDT4,38.76061,-122.60471
MDT6,38.76043,-122.60333
MER2,37.5251,-120.32139
MER3,37.52504,-120.32188
MER5,37.51672,-120.36083
MER6,37.51684,-120.36082
MER7,37.51664,-120.36272
MER8,37.51723,-120.37267
MF31,35.06049,-118.7475
MF32,35.06085,-118.74722
MF33,35.06111,-118.74704
MF34,35.06083,-118.74616
MF35,35.06144,-118.74671
MF36,35.06203,-118.74673
MF37,35.06257,-118.74664
MF38,35.06291,-118.74576
MOD3,38.51506,-122.08321
MOD4,38.5148,-122.07794
MOD5,38.51478,-122.07824
MOD8,38.51446,-122.0775
MOH2,37.16528,-121.71496
MOH3,37.16491,-121.71479
MOH5,37.14795,-121.69316
MOH6,37.13591,-121.70014
MOH8,37.12977,-121.70248
MRD2C,39.18717,-121.89928
MRD3,39.18717,-121.8995
MRD5,39.18725,-121.90304
MTR3,38.27504,-120.50581
MTR4,38.27252,-120.50473
MTR5,38.27146,-120.50459
MTR6,38.26668,-120.50298
MTR7,38.26659,-120.50238
NAP1,38.24059,-122.27192
NAP2,38.24031,-122.27188
NAP3,38.27742,-122.25249
NAP4,38.27868,-122.2495
NAP6,38.33479,-122.26407
NAP7,38.33403,-122.26485
NAP8,38.39824,-122.20385
NIC10,38.88123,-121.60262
NIC6,38.88152,-121.60447
NIC9,38.88178,-121.60592
NOV1,38.10416,-122.54114
NOV3,38.10773,-122.57983
NOV4,38.11274,-122.56886
OAKA,37.14885,-119.73211
OAKB,37.14927,-119.73222
OAKG,37.33256,-119.65646
OAKH,37.3384,-119.65725
OJAI1,34.42698,-119.32725
OJAI3,34.44143,-119.24085
OJAI4,34.44105,-119.23928
OJAI6,34.4414,-119.2453
OKG2,38.0566,-121.3644
OKG3,38.0566,-121.36429
OKG4,38.05616,-121.36335
OKG5,38.05709,-121.36305
OKG6,38.05582,-121.36349
ONEC,37.15157,-119.73193
ONED,37.15827,-119.74027
ORO2,39.46142,-121.59436
ORO4,39.46109,-121.59728
PAR894,34.12,-118.76
PAT1,37.49353,-121.08161
PAT3,37.49586,-121.06629
PAY4,40.31443,-122.06976
PAY5,40.31465,-122.06873
PAY6,40.31295,-121.99838
PAY8,40.31264,-121.99435
PEN10,39.20129,-121.18902
PEN2,39.20379,-121.17896
PEN6,39.2043,-121.19053
PEN7,39.20424,-121.1905
PEN8,39.20263,-121.18562
PEN9,39.20205,-121.18857
PLA1,40.28987,-122.60182
PLA2,40.28982,-122.61132
PLA3,40.30056,-122.66821
PLA4,40.29875,-122.67417
PO1,35.38845,-120.16939
PO6,35.3847,-120.17882
PRI5,39.46061,-122.01819
PSK2,39.88496,-122.54594
PSK4,39.8862,-122.53217
PT1,36.13808,-120.75002
PT3,36.1435,-120.75339
PT5,36.13889,-120.75064
RDD3,40.5706,-122.37919
RDD5,40.61291,-122.34833
RDD6,40.61261,-122.34828
RDD7,40.61095,-122.3462
RED1,40.1478,-122.13824
RED2,40.12669,-122.12164
RED4,40.15633,-122.20159
RED5,40.15539,-122.20391
RED7,40.08522,-122.17328
ROV1,39.74843,-123.24821
ROV2,39.74833,-123.24822
ROV3,39.74828,-123.24841
ROV4,39.75122,-123.24845
ROV5,39.75858,-123.24104
ROV6,39.75863,-123.24069
ROV7,39.75859,-123.23914
ROV8,39.75847,-123.23589
RRD4,40.61283,-122.34853
SCL1,34.40093,-118.57196
SIL1,39.35074,-122.40717
SMAR1,35.3529,-120.53798
SMAR3,35.3517,-120.53426
SMAR4,35.34739,-120.53631
SMAR6,35.35508,-120.54007
SON1,37.95635,-120.42282
SON2,37.95644,-120.42265
SON5,37.97928,-120.38844
SON6,37.99425,-120.38364
SON7,38.00973,-120.39066
SPRA,36.08004,-118.89775
SPRB,36.09481,-118.83675
SPRC,36.04868,-118.8588
SUG3,38.4237,-122.55438
SUG6,38.42008,-122.55209
SUG7,38.41886,-122.55145
SUN1,37.60109,-121.87374
SUN2,37.60099,-121.87363
SUN3,37.602,-121.87358
SUN5,37.5987,-121.8751
SUN6,37.59867,-121.87535
SUN7,37.60355,-121.87331
SUN8,37.60332,-121.87334
SW664,34.68892,-120.03605
TAC1,35.11713,-118.48862
TAC3,35.11596,-118.48901
TAC5,35.11866,-118.486
TAC6,35.11889,-118.48441
TAC7,35.1227,-118.4834
TAC8,35.11386,-118.48926
TIN1,38.61659,-123.26478
TIN10,38.61844,-123.26057
TIN12,38.62137,-123.24867
TIN5,38.61683,-123.26316
TIN6,38.61725,-123.26326
TIN8,38.61869,-123.26101
UCD2,38.53458,-121.75026
UCD3,38.5347,-121.74997
UKI1,39.10214,-123.2045
UKI2,39.10065,-123.20727
UKI3,39.0793,-123.21585
UKI4,39.07946,-123.21592
UKI7,39.09771,-123.20856
WLT1,39.41081,-123.34682
WLT4,39.3839,-123.34167
