siteID_,areaCoverage_
CAC2,95.9676
NFE2,91.944
TAR3,88.0399
KAP1,84.6565
LMC17,81.3343
IM10,78.0999
KLM25,74.8787
EAF2,71.7433
FRC1,68.6919
CLC2,65.7434
RGR15,62.8345
M2L4,60.2099
PCL3,57.5929
MIY1,54.9808
ASK6,52.4135
SWC24,49.8666
MED3,47.3683
16_ANT_106_N1,44.9608
BSR132,42.625
LOR25,40.428
WPV2,38.2547
HAM6,36.0982
LCC2,33.9735
STB7,32.0513
16_OSO_2_N1,30.1579
CAN68,28.3176
13_VFC_4_N2,26.5078
WMO3,24.7756
RFA3,23.1222
FHS2,21.5627
NOF1,20.0271
16_FPA_22_N1,18.5696
16_CTA_28_N1,17.1253
16_UGC_2_N1,15.7645
ORO24,14.4116
SKZ27,13.3084
SGR5,12.2167
OSW25,11.2841
AWP26,10.3541
16_AKC_41_N1,9.4561
KIC2,8.5687
16_VAT_3_N1,7.694
16_DCR_9_N1,6.9805
TSG21,6.43
BEL3,5.8801
THR21,5.3438
WKY2,4.8146
