siteID_,areaCoverage_
CAC1,95.9029
NFE1,91.8144
TAR3,87.8446
KAP1,84.4207
LMC12,81.0578
IM6,77.7922
KLM23,74.587
EAF2,71.464
FRC3,68.3824
RGR15,65.4421
CLC3,62.5067
M2L4,59.8388
PCL3,57.2249
ASK5,54.6185
MIY2,52.0518
SWC18,49.501
MED1,47.0075
16_ANT_102_N1,44.5881
BSR131,42.2694
LOR29,40.0446
HAM6,37.8516
WPV2,35.6893
LCC3,33.6014
STB18,31.6594
16_OSO_2_N1,29.7601
CAN68,27.9051
13_VFC_4_N1,26.0876
WMO3,24.329
RFA12,22.6341
FHS1,21.1222
16_CTA_26_N1,19.6385
16_FPA_44_N1,18.1764
NOF1,16.721800000000002
ORO20,15.3553
16_UGC_1_N1,13.9987
SKZ27,12.908
SGR2,11.8253
OSW13,10.8923
AWP26,9.9674
16_VAT_6_N1,9.0555
16_AKC_14_N1,8.1783
KIC3,7.3252
16_DCR_10_N1,6.5868
TSG25,6.0441
THR21,5.5264
03_V153408_N3,5.0103
BEL3,4.5038
