siteID_,areaCoverage_
TAR3,93.9607
IHR20,88.492
NFE1,83.3013
LMC17,78.9062
KAP1,74.6333
FEV11,70.5739
RGR15,66.5881
ASK6,62.7613
FRC1,59.2003
CLC4,55.7634
HOC26,52.6268
SWC18,49.6007
LOR17,46.6402
KLM23,43.8203
16_MFM_107_N1,41.0743
PCL20,38.435
M2L4,36.136
CAN68,33.8524
MED3,31.7127
16_CTA_28_N1,29.5963
13_VFC_1_N1,27.5935
SGR2,25.7164
16_FPA_44_N1,23.9263
BSR26,22.2245
AWP27,20.6028
16_VAL_13_N1,19.0226
STB7,17.4893
ORO31,16.0099
RFA12,14.5839
EAF3,13.1979
16_OSO_3_N1,11.8922
LCC2,10.6275
16_ICY_903_N1,9.4275
