siteID_,areaCoverage_
KAP1,97.9596
KLM25,95.917
LCC2,93.8744
NFE3,91.8319
TBR2,89.7893
IHR8,87.7467
FRC3,85.7042
SCS2,83.6615
CLC2,81.619
LMC22,79.5764
LOR29,77.5338
NOF1,75.4913
BSR26,73.4487
MIF1,71.4067
RGR15,69.365
SWC18,67.3269
EAF2,65.3038
16_MFM_200_N1,63.3222
ASK5,61.3494
MIY3,59.3781
CAC1,57.4405
TRR3,55.5066
MED1,53.5929
TAR3,51.6924
CDR4,49.9198
16_FPA_26_N1,48.221
HOC17,46.5292
FEV11,44.8564
M2L4,43.1908
16_ICY_903_N1,41.5636
FHS3,39.9922
OZF9,38.4298
THR21,36.8768
WMO3,35.3397
CAN68,33.8328
PCL20,32.3528
SHC1,30.9043
HAM102,29.4564
CVG19,28.0222
STB7,26.6682
16_OSO_2_N1,25.3305
16_AKC_41_N1,24.0851
16_SZA_88_N1,22.8559
13_VFC_2_N1,21.6697
WKY3,20.5064
MUG3,19.3521
03_V153408_N3,18.2031
16_CTA_27_N1,17.0558
WPV2,15.9614
AWP26,14.9145
HEC22,13.8742
16_AMS_10_N1_B,12.8565
TSG25,11.8877
SKZ27,10.9271
MCB4,10.0257
ORO51,9.1267
16_ZEN_4_N1,8.2684
OPB6,7.4122
16_VAL_15_N1,6.7152
OSW25,6.022
16_SDP_24_N1,5.4272
16_DCR_9_N1,4.8711
