siteID_,areaCoverage_
TRR1,97.7879
NOF1,95.5766
LMC22,93.3653
LCC1,91.154
BSR132,88.9426
CAC1,86.7313
NFE3,84.5199
SCS2,82.3095
FRC1,80.1019
TBR2,77.9115
LOR25,75.7235
MIF1,73.5558
RGR15,71.3883
KAP1,69.2252
MIY1,67.0659
CLC3,64.909
SWC18,62.7705
EAF2,60.6355
TAR3,58.5801
ASK6,56.5922
16_MFM_200_N1,54.7141
MED3,52.9054
M2L4,51.1433
16_ICY_904_N1,49.383
PCL20,47.6693
IHR20,45.994
KLM25,44.3235
16_FPA_44_N1,42.6889
HOC25,41.0766
FHS2,39.557
FEV11,38.052
CAN68,36.577
OZF10,35.1102
WMO3,33.6591
CVG10,32.2545
STB18,30.9038
16_OSO_4_N1,29.5543
SHC2,28.2083
MUG1,26.8757
THR21,25.5549
CDR5,24.2402
16_CTA_28_N1,22.9401
13_VFC_1_N1,21.6847
16_SZA_88_N1,20.4494
WPV2,19.2184
03_V153408_N3,18.0254
HAM6,16.862
WKY2,15.7054
16_AKC_14_N1,14.6243
16_AMS_10_N1_B,13.563
TSG25,12.5485
HEC20,11.5715
ORO20,10.6347
MCB4,9.7471
SKZ38,8.8656
AWP26,7.9975
OSW25,7.1991
KIC1,6.4856
16_ZEN_2_N1,5.8042
16_SDP_24_N1,5.2149
BEL1,4.6641
