siteID_,areaCoverage_
KLM25,97.867
TBR2,95.7334
LMC12,93.5997
CAC1,91.4661
BSR21,89.3325
NFE2,87.1989
LCC2,85.0654
KAP1,82.9318
FRC2,80.7982
SCS1,78.6646
NOF1,76.5309
LOR29,74.399
CLC2,72.2735
RGR15,70.1623
MIF1,68.0528
SWC24,65.9532
EAF3,63.8752
MIY3,61.8085
ASK5,59.8192
TAR3,57.8391
16_MFM_200_N1,55.864
MED1,53.9997
IHR8,52.1898
TRR1,50.3845
M2L4,48.652
16_FPA_44_N1,46.9624
16_ICY_901_N1,45.2736
HOC26,43.6038
FEV11,42.0051
PCL3,40.4209
FHS2,38.8506
CDR2,37.2844
OZF9,35.7738
CAN68,34.2877
WMO3,32.8077
THR21,31.395
CVG19,29.9966
SHC2,28.6052
STB7,27.2577
16_OSO_4_N1,25.9428
HAM102,24.6439
16_CTA_28_N1,23.404
MUG3,22.1763
16_SZA_88_N1,20.9527
13_VFC_2_N1,19.7411
03_V153408_N2,18.5763
WPV2,17.4151
WKY2,16.2646
16_AKC_41_N1,15.1287
HEC23,14.0451
16_AMS_10_N1_B,13.0036
TSG21,12.0218
AWP27,11.0424
ORO31,10.1195
SKZ27,9.2119
MCB2,8.3196
16_ZEN_2_N1,7.5327
OSW13,6.7882
OPB6,6.133
16_SDP_32_N1,5.5232
16_VPT_5_N1,4.9335
