siteID_,areaCoverage_
CAC1,96.1505
NFE1,92.3143
KLM23,88.5868
LCC1,85.2993
KAP1,82.0388
LMC22,78.8209
FEV11,75.6383
EAF3,72.5029
CLC2,69.5477
FRC3,66.5979
RGR15,63.773
MIY3,61.0774
PCL20,58.4538
SWC17,55.936
MED3,53.4192
M2L4,50.9256
ASK6,48.4679
BSR132,46.0777
16_ANT_102_N1,43.7264
TAR3,41.5269
WPV2,39.3837
LOR17,37.2482
HAM19,35.1827
16_OSO_2_N1,33.3027
STB18,31.4353
NOF1,29.6101
CAN68,27.8033
13_VFC_4_N2,26.0377
WMO2,24.3625
FHS3,22.6942
RFA12,21.2182
16_FPA_44_N1,19.762
16_PTR_5_N1,18.3824
16_CTA_26_N1,17.0534
ORO31,15.748
SKZ27,14.6107
SGR4,13.5187
KIC3,12.5038
16_AKC_41_N1,11.5405
OSW25,10.6135
AWP27,9.7073
