siteID_,areaCoverage_
CAC1,96.0908
NFE2,92.1928
TAR3,88.4118
KAP1,85.1102
LMC22,81.859
KLM23,78.6085
FEV11,75.4144
EAF2,72.2694
FRC1,69.2861
CLC2,66.326
RGR15,63.4733
MIY2,60.8014
PCL20,58.1771
M2L4,55.6436
SWC24,53.1124
MED1,50.6021
ASK6,48.109
16_ANT_106_N1,45.7309
BSR132,43.3575
LCC3,41.1624
WPV2,38.9944
LOR17,36.8419
HAM6,34.7499
16_OSO_4_N1,32.8649
STB18,30.9812
CAN68,29.1668
13_VFC_2_N1,27.3837
NOF1,25.6557
WMO3,23.9654
FHS3,22.3258
RFA12,20.791
16_FPA_22_N1,19.3345
16_PTR_5_N1,17.9611
16_CTA_28_N1,16.5975
ORO51,15.2804
SKZ27,14.1536
SGR2,13.0569
KIC1,12.0873
16_AKC_41_N1,11.1475
OSW25,10.2178
AWP26,9.2992
16_VAL_14_N1,8.4859000000000009
THR21,7.7662
16_DCR_9_N1,7.094
BEL1,6.4639
WKY3,5.8612
TSG25,5.3044
03_V153408_N3,4.7797
