siteID_,areaCoverage_
KLM25,92.5954
MIF1,85.949700000000007
LMC12,80.4221
IM6,75.6523
ASK4,70.8971
WKY3,66.2725
SCS1,61.5427
HOC26,57.7085
SWC17,53.8428
LOR25,50.0096
WMO2,46.7587
MED1,43.5608
FGP3,40.1158
16_ALP_110_N1,37.1977
ORO20,34.3439
13_VFC_4_N2,31.9269
16_CTA_28_N1,29.4023
KIC1,27.0958
PCL3,24.663
16_VAL_14_N1,22.5497
GEI12,20.2464
BSR21,18.3987
16_DCR_10_N1,16.7408
16_FPA_26_N1,14.6954
OSW25,13.126
LCC1,11.3243
BCB30,10.034
16_PTR_6_N1,8.8079
