siteID_,areaCoverage_
TAR3,95.0919
CAC2,90.2177
NFE1,85.4839
KAP1,81.5719
LMC17,77.7097
IM10,74.0224
RGR15,70.6146
FRC2,67.2425
CLC2,63.943600000000004
ASK6,60.6699
KLM25,57.6076
M2L4,54.7743
HAM102,52.0344
SWC24,49.3378
PCL20,46.6884
16_ANT_107_N1,44.0516
LOR17,41.4774
EAF2,39.3003
MED1,37.1297
CAN68,34.9701
BSR26,32.9465
RFA3,30.9351
NOF1,28.9869
WMO3,27.0529
13_VFC_4_N1,25.1671
16_CTA_28_N1,23.2925
STB7,21.4582
LCC3,19.7713
16_OSO_3_N1,18.0847
16_FPA_26_N1,16.5103
WPV2,15.124
ORO24,13.7395
16_ZEN_4_N1,12.5022
16_VAL_14_N1,11.3232
AWP26,10.2448
16_DCR_9_N1,9.2496
