siteID_,areaCoverage_
CAC1,96.0307
NFE2,92.0705
TAR3,88.2294
KAP1,84.8868
LMC12,81.6025
KLM25,78.3656
FEV11,75.1586
EAF2,72.0156
FRC3,68.9974
CLC2,66.0397
RGR15,63.1593
MIY1,60.5124
PCL3,57.891
M2L4,55.3132
SWC17,52.7729
ASK5,50.243
MED3,47.7392
16_ANT_107_N1,45.3433
BSR21,42.9886
WPV2,40.8104
LOR17,38.6371
LCC1,36.4773
HAM19,34.3545
STB18,32.4527
16_OSO_2_N1,30.5636
CAN68,28.7375
13_VFC_1_N1,26.9384
WMO2,25.2289
NOF1,23.6008
FHS2,21.9984
RFA12,20.4046
16_FPA_44_N1,18.948
16_CTA_26_N1,17.5451
16_UGC_1_N1,16.1809
ORO55,14.8465
SKZ6,13.7298
SGR4,12.6318
OSW25,11.7001
KIC3,10.7727
AWP26,9.8476
16_AKC_41_N1,8.9287
16_VAL_15_N1,8.0893
THR21,7.3879
16_DCR_10_N1,6.697
BEL4,6.1054
WKY1,5.5405
TSG21,4.9845
