siteID_,areaCoverage_
TAR3,94.2889
IHR20,88.9972
NFE3,83.9191
LMC12,79.6743
KAP1,75.4855
FEV11,71.5289
RGR15,67.7179
ASK6,63.9942
FRC3,60.504
CLC4,57.1071
HAM6,54.0678
KLM23,51.1289
SWC18,48.2215
LOR25,45.3766
16_ALP_117_N1,42.6665
PCL3,40.0079
M2L4,37.532
MED1,35.2026
CAN68,32.942
16_CTA_28_N1,30.8769
13_VFC_4_N1,28.903
RFA12,26.9747
WMO2,25.0907
BSR132,23.2924
16_FPA_22_N1,21.5669
STB18,19.9477
EAF3,18.3573
16_VAL_14_N1,16.8791
ORO24,15.4372
LCC3,14.0293
16_OSO_4_N1,12.6239
AWP26,11.3785
16_LAU_7_N1,10.1751
16_DCR_9_N1,9.0617
SGR2,8.2135
NKL2,7.3803
WPV2,6.5707
MIY2,5.7826
OSW25,5.0107
16_AKC_41_N1,4.3772
