siteID_,areaCoverage_
CAC1,97.8264
NOF1,95.652
BSR132,93.4777
TRR3,91.3034
NFE3,89.1291
SCS2,86.9548
LCC3,84.7804
LMC22,82.6061
FRC3,80.4319
TBR2,78.2616
LOR25,76.0973
KAP1,73.9445
CLC4,71.7981
MIF1,69.6591
RGR15,67.5204
SWC18,65.399
MIY2,63.2835
EAF2,61.1769
TAR3,59.1566
ASK6,57.1693
16_MFM_200_N1,55.2264
MED1,53.3884
M2L4,51.6348
IHR8,49.8927
KLM25,48.1553
16_ICY_903_N1,46.4284
16_FPA_22_N1,44.7681
PCL20,43.1204
HOC25,41.4808
FHS2,39.9269
FEV11,38.3761
OZF10,36.8854
CAN68,35.4051
WMO3,33.9373
CDR4,32.5023
CVG19,31.1039
SHC1,29.7335
THR21,28.3813
STB7,27.033
16_OSO_3_N1,25.7244
16_CTA_27_N1,24.4469
MUG3,23.1712
13_VFC_1_N1,21.9336
16_SZA_86_N1,20.7034
HAM19,19.4748
WPV2,18.2759
03_V153408_N3,17.0951
WKY2,15.9458
16_AKC_41_N1,14.836
16_AMS_38_N1,13.7772
HEC20,12.7229
TSG25,11.7285
ORO51,10.796
AWP26,9.8708
SKZ6,8.9787
MCB2,8.0915
OSW13,7.3187
16_ZEN_4_N1,6.5855
KIC2,5.9522
16_SDP_24_N1,5.353
16_VPT_3_N1,4.7889
