siteID_,areaCoverage_
CAC2,94.4194
NFE3,89.0899
LCC3,84.3758
LMC12,79.8299
TRR2,75.4639
FEV11,71.3163
RGR15,67.146
ASK5,63.4296
KAP1,59.076
CLC4,55.5827
FRC1,51.9611
HOC17,48.6879
M2L4,45.5165
16_MFM_200_N1,42.7431
BCB21,40.1742
SWC17,37.0342
PCL3,34.4238
LOR29,31.74
SKZ38,29.8122
SGR4,27.9143
16_FPA_44_N1,26.0758
16_CTA_27_N1,23.9257
16_VPT_3_N1,22.349
MED1,21.034
ORO20,19.4821
OSW25,18.2245
16_DCR_10_N1,16.9952
BSR26,15.6975
16_PTR_6_N1,14.4954
13_VFC_4_N2,13.4048
EAF2,12.2216
16_OSO_4_N1,10.9932
NKL15,10.0432
MIY2,9.1118
