siteID_,areaCoverage_
LMC17,98.0034
TRR2,96.0073
SWC17,94.0112
FRC2,92.0151
LOR29,90.019
NFE3,88.0229
CDR5,86.0269
KAP1,84.0308
LCC3,82.0346
SCS1,80.0385
TBR2,78.0424
CAC2,76.0463
NOF1,74.0502
RGR15,72.0541
MIF1,70.058
BSR131,68.0619
EAF2,66.0708
IHR8,64.0913
KLM23,62.114
16_MFM_200_N1,60.1443
ASK6,58.1824
MIY1,56.2474
MED3,54.3288
TAR3,52.4672
CLC3,50.6131
FEV11,48.9141
16_FPA_26_N1,47.2209
HOC25,45.533
M2L4,43.9
THR21,42.2723
16_ICY_903_N1,40.6561
OZF9,39.0491
WMO3,37.4629
FHS1,35.8878
CAN68,34.3469
SHC2,32.8514
CVG10,31.3751
HAM6,29.909
PCL20,28.4724
STB7,27.114
16_AKC_41_N1,25.7924
16_OSO_4_N1,24.4747
16_SZA_86_N1,23.2186
13_VFC_4_N2,22.0388
WKY2,20.8732
03_V153408_N3,19.726
MUG1,18.5909
16_CTA_26_N1,17.4682
WPV2,16.3973
HEC22,15.3788
16_AMS_32_N1,14.3628
AWP27,13.3667
SKZ6,12.3709
TSG25,11.3985
GEI12,10.4349
MCB2,9.5299
ORO51,8.6345
16_ZEN_1_N1,7.7486
16_VAL_14_N1,6.9759
OSW13,6.3051
IM10,5.6926
16_KCG_37_N1,5.1174
SWB19,4.5487
