siteID_,areaCoverage_
TAR3,91.2601
IHR20,84.5047
RGR15,78.9477
LMC17,73.4201
KAP1,68.3738
FEV11,63.5087
FGP1,59.0945
NFE3,54.7116
FRC3,50.7461
HOC25,46.9119
LOR29,43.0788
ASK5,39.2641
SWC17,36.2385
16_MFM_200_N1,33.3187
ORO31,30.4649
16_CTA_26_N1,27.9403
TSG21,25.458
13_VFC_4_N2,23.041
16_VAL_14_N1,20.9278
16_FPA_22_N1,18.8823
SGR5,16.9347
BSR26,15.145
16_DCR_10_N1,13.4871
OSW13,11.9177
NKL15,10.5532
CAN68,9.2028
