siteID_,areaCoverage_
FRC3,97.9083
BSR26,95.8189
LOR25,93.7296
LCC2,91.6402
TRR2,89.5509
IHR20,87.4615
NFE1,85.3721
LMC12,83.2827
NOF1,81.1933
SCS1,79.104
TBR2,77.0146
KAP1,74.9252
CLC4,72.836
RGR15,70.7557
MIF1,68.6762
SWC17,66.6039
EAF3,64.553
MIY1,62.5399
ASK4,60.5543
16_MFM_107_N1,58.5695
TAR3,56.6317
MED1,54.7388
CAC2,52.862
KLM25,50.9896
M2L4,49.2852
16_FPA_26_N1,47.5882
HOC26,45.9054
CDR5,44.2299
16_ICY_903_N1,42.5771
FEV11,40.9378
FHS3,39.3636
OZF9,37.8312
PCL20,36.3048
WMO2,34.8013
CAN68,33.3087
THR21,31.8264
SHC1,30.4115
CVG19,29.0031
HAM19,27.6215
STB7,26.2725
16_OSO_3_N1,24.9402
16_SZA_86_N1,23.7201
16_CTA_26_N1,22.5203
13_VFC_4_N1,21.3243
MUG3,20.142
16_AKC_41_N1,18.9669
WKY3,17.8107
03_V153408_N1,16.655
WPV2,15.5255
HEC22,14.463
AWP27,13.4299
16_AMS_10_N1_B,12.4017
TSG24,11.4284
SKZ38,10.5005
ORO20,9.5911
MCB2,8.694
16_ZEN_1_N1,7.8659
OPB3,7.1115
OSW25,6.3925
16_VAL_13_N1,5.7659
16_SDP_6_N1,5.1604
16_DCR_9_N1,4.6368
