Sample Name,Latitude,Longitude
Congla700,30.50422,-84.9333553
Congla701,30.50422,-84.9333643
Congla702,30.50422,-84.933385
Congla703,30.50422,-84.9334678
Congla611,30.51841,-84.93061
Congla613,30.51904512,-84.93124512
Congla614,30.51841,-84.9306874
Congla612,30.51841,-84.9306874
Congla615,30.51351,-84.91946
Congla616,30.51355073,-84.91941927
Congla617,30.51355455,-84.91941545
Congla618,30.51356409,-84.91940591
Congla619,30.51357555,-84.91939445
Congla620,30.51358319,-84.91938681
Congla621,30.51344891,-84.91939891
Congla622,30.51340563,-84.91935563
Congla623,30.51351,-84.91955
Congla649,30.51351,-84.9196076
Congla650,30.51351,-84.9196193
Congla651,30.51351,-84.9196265
Congla652,30.51351,-84.9196346
Congla644,30.5136054,-84.91946
Congla645,30.51361782,-84.91946
Congla646,30.5136279,-84.91946
Congla647,30.51363078,-84.91946
Congla648,30.51363537,-84.91946
Congla653,30.50837,-84.91641
Congla654,30.50838044,-84.91641
Congla655,30.5083961,-84.91641
Congla656,30.5084141,-84.91641
Congla657,30.50842265,-84.91641
Congla658,30.50837,-84.91640136
Congla659,30.50837,-84.91639785
Congla671,30.50837,-84.91638723
Congla660,30.50837,-84.91637904
Congla661,30.50837,-84.9163551
Congla662,30.50835983,-84.91641
Congla663,30.50834786,-84.91641
Congla664,30.5082368,-84.91641
Congla665,30.50823077,-84.91641
Congla666,30.50837,-84.91642251
Congla667,30.50837,-84.91643547
Congla668,30.50837,-84.9164487
Congla669,30.50837,-84.91646031
Congla670,30.50837,-84.91653033
Congla672,30.50781,-84.92252
Congla673,30.50790405,-84.92252
Congla674,30.50793195,-84.92252
Congla675,30.5077578,-84.92252
Congla676,30.507747,-84.92252
Congla677,30.50554,-84.91658
Congla705,30.50554279,-84.91658
Congla678,30.50554999,-84.91658
Congla679,30.5055625,-84.91658
Congla680,30.50558455,-84.91658
Congla681,30.50563,-84.91658
Congla682,30.50554,-84.91657217
Congla683,30.50554,-84.91656335
Congla684,30.50554,-84.91655624
Congla685,30.50554,-84.91654103
Congla686,30.50554,-84.91651034
Congla687,30.50553505,-84.91658
Congla706,30.50553055,-84.91658
Congla707,30.50551417,-84.91658
Congla708,30.50549797,-84.91658
Congla709,30.50545315,-84.91658
Congla710,30.50554,-84.9165845
Congla711,30.50554,-84.916589
Congla712,30.50554,-84.9166025
Congla713,30.50554,-84.916625
Congla714,30.50554,-84.91667
Congla464,30.49936,-84.91773
Congla465,30.499369,-84.91773
Congla466,30.499378,-84.91773
Congla467,30.499405,-84.91773
Congla468,30.499432,-84.91773
Congla469,30.49936,-84.9177255
Congla470,30.49936,-84.917721
Congla471,30.49936,-84.917712
Congla472,30.49936,-84.917685
Congla473,30.49936,-84.91764
Congla474,30.4993555,-84.91773
Congla475,30.499342,-84.91773
Congla476,30.499315,-84.91773
Congla477,30.499288,-84.91773
Congla478,30.5011,-84.92064
Congla482,30.5010944,-84.9206344
Congla483,30.50107773,-84.92061773
Congla484,30.50107136,-84.92061136
Congla485,30.501065,-84.920605
Congla486,30.50105863,-84.92059863
Congla487,30.50104909,-84.92058909
Congla479,30.50111973,-84.92062027
Congla480,30.5011315,-84.92064
Congla481,30.5011414,-84.92064
Congla488,30.5011,-84.9207048
Congla489,30.50104591,-84.92069409
Congla490,30.5009884,-84.92064
Congla911,30.50638,-84.9081
Congla912,30.5063854,-84.9081
Congla913,30.506389,-84.9081
Congla914,30.5064016,-84.9081
Congla915,30.5064304,-84.9081
Congla916,30.5064727,-84.9081
Congla917,30.50638,-84.9080955
Congla918,30.50638,-84.9080847
Congla919,30.50638,-84.9080793
Congla920,30.50638,-84.908055
