"Sample","decimalLatitude","decimalLongitude"
"TV1521",37.4804,-115.5042
"TV2001",37.4328,-115.4304
"TV2002",37.4327,-115.4304
"TV2007",37.4325,-115.4305
"TV2011",37.4328,-115.4308
"TV2012",37.4328,-115.4308
"TV2013",37.4328,-115.4307
"TV2021",37.4329,-115.4304
"TV2022",37.4328,-115.4304
"TV2023",37.4329,-115.4302
"TV2025",37.4328,-115.4301
"TV2028",37.4328,-115.4301
"TV2029",37.4327,-115.4301
"TV2030",37.4326,-115.4386
"TV2038",37.4322,-115.4478
"TV2040",37.4325,-115.4479
"TV2041",37.4324,-115.4479
"TV2043",37.4323,-115.448
"TV2046",37.4325,-115.4481
"TV2047",37.4325,-115.4479
"TV2048",37.4326,-115.4479
"TV2049",37.4326,-115.4479
"TV2051",37.4323,-115.4476
"TV2054",37.4335,-115.4562
"TV2064",37.4336,-115.4557
"TV2070",37.4346,-115.4646
"TV2077",37.4361,-115.4728
"TV2079",37.436,-115.473
"TV2084",37.4361,-115.4725
"TV2086",37.4363,-115.4727
"TV2087",37.4363,-115.4728
"TV2251",37.4199,-115.4197
"TV2255",37.4203,-115.4197
"TV2256",37.4202,-115.4196
"TV2260",37.4198,-115.4193
"TV2263",37.4198,-115.4278
"TV2264",37.4194,-115.428
"TV2265",37.4196,-115.4283
"TV2266",37.4196,-115.4283
"TV2267",37.4192,-115.4368
"TV2269",37.4194,-115.4364
"TV2274",37.4196,-115.4451
"TV2276",37.4196,-115.4452
"TV2279",37.4192,-115.4452
"TV2280",37.4193,-115.445
"TV2287",37.4196,-115.4538
"TV2292",37.4193,-115.4537
"TV2294",37.4194,-115.4532
"TV2297",37.4197,-115.4533
"TV2305",37.4197,-115.4623
"TV2505",37.4103,-115.4068
"TV2512",37.4102,-115.458
"TV2754",37.4018,-115.4064
"TV2763",37.4016,-115.4069
"TV2767",37.4019,-115.4067
"TV2768",37.402,-115.4066
"TV2769",37.4021,-115.4065
"TV2778",37.4018,-115.4149
"TV2779",37.4016,-115.415
"TV2780",37.4016,-115.4153
"TV2789",37.4021,-115.4149
"TV2793",37.4019,-115.4232
"TV2801",37.4018,-115.4317
"TV2811",37.4018,-115.4404
"MB0001",37.4292,-115.5534
"MB0003",37.4278,-115.5554
"MB0008",37.425,-115.5542
"MB0012",37.423,-115.5564
"MB0014",37.4229,-115.5572
"MB0016",37.4332,-115.5559
"MB0017",37.4233,-115.5583
"MB0018",37.4333,-115.5561
"MB0019",37.4308,-115.5564
"MB0020",37.4273,-115.5542
"MB0021",37.4263,-115.5508
"MB0023",37.4264,-115.5504
"MB0024",37.4229,-115.5479
"MB0025",37.4231,-115.546
"MB0112",37.4258,-115.549
"MB0120",37.4257,-115.5492
"MB0121",37.4253,-115.5489
"MB0122",37.4258,-115.5492
"MB0123",37.4253,-115.549
"MB0124",37.4258,-115.5494
"MB0125",37.4254,-115.5491
"MB0128",37.4254,-115.5494
"MB0004",37.4258,-115.5538
"MB0005",37.4275,-115.5558
"MB0006",37.425,-115.5537
"MB0007",37.4268,-115.5563
"MB0009",37.4266,-115.5565
"MB0010",37.4232,-115.5562
"MB0011",37.4263,-115.5571
"MB0013",37.4243,-115.5576
"MB0022",37.4265,-115.5505
"MR0001",37.3874,-115.5252
"MR0002",37.3941,-115.5154
"MR0004",37.394,-115.5156
"MR0006",37.3941,-115.5152
"MR0007",37.394,-115.5151
"MR0009",37.3942,-115.5295
"MR0016",37.4048,-115.5352
"MR0022",37.4046,-115.535
"MR0026",37.4048,-115.5348
"MR0028",37.405,-115.5348
"MR0031",37.4119,-115.5164
"MR0040",37.412,-115.5291
"MR0042",37.4116,-115.5404
"MR0043",37.4116,-115.5404
"MR0050",37.412,-115.5404
"MR0053",37.4119,-115.5407
"MR0054",37.4119,-115.5406
"MR0055",37.4118,-115.5407
"MR0058",37.4118,-115.5408
"MR0062",37.4049,-115.5235
"MR0064",37.4046,-115.523
"TVS0202",37.3651,-115.5366
"TVS0203",37.357,-115.5335
"TVS0206",37.3488,-115.532
"TVS0208",37.3466,-115.5307
"TVS0210",37.3452,-115.537
"TVS101a",37.372,-115.5224
"TVS102a",37.3706,-115.5217
"TVS103a",37.3729,-115.5162
"TVS0204",37.3562,-115.5338
"TVS0205",37.3561,-115.5335
"TVS0207",37.3469,-115.5297
"TVS0209",37.3464,-115.5306
"TVS0211",37.3485,-115.5382
