"","Sample","decimalLatitude","decimalLongitude"
"160","TV1118",37.483,-115.5089
"161","TV1119",37.4805,-115.5124
"162","TV1132",37.4773,-115.5082
"164","TV1136",37.4753,-115.5059
"165","TV1137",37.4745,-115.498
"166","TV1141",37.4748,-115.4971
"167","TV1147",37.4755,-115.4951
"168","TV1151",37.4767,-115.4962
"170","TV1162",37.4716,-115.5016
"174","TV1172",37.4704,-115.5002
"175","TV1174",37.4706,-115.5003
"177","TV1178",37.4704,-115.4998
"179","TV1180",37.4707,-115.4995
"182","TV1184",37.471,-115.4991
"184","TV1186",37.4712,-115.4991
"187","TV1193",37.4691,-115.4924
"188","TV1194",37.4716,-115.4994
"189","TV1196",37.472,-115.4992
"191","TV1218",37.4664,-115.4937
"194","TV1225",37.4697,-115.4958
"195","TV1227",37.4705,-115.4949
"197","TV1230",37.4674,-115.4928
"198","TV1239",37.4704,-115.4935
"199","TV1243",37.4711,-115.4916
"200","TV1244",37.4702,-115.489
"201","TV1246",37.471,-115.4899
"202","TV1249",37.4748,-115.4919
"203","TV1251",37.4746,-115.4929
"205","TV1255",37.4751,-115.493
"206","TV1257",37.4759,-115.4937
"207","TV1258",37.4672,-115.4916
"209","TV1261",37.475,-115.4955
"210","TV1263",37.4753,-115.4946
"211","TV1265",37.4758,-115.497
"212","TV1267",37.4742,-115.4948
"213","TV1271",37.4742,-115.4953
"216","TV1289",37.4649,-115.4988
"217","TV1297",37.4639,-115.4997
"218","TV1303",37.4637,-115.5
"219","TV1304",37.46,-115.505
"220","TV1306",37.4594,-115.5051
"221","TV1318",37.4618,-115.499
"222","TV1320",37.4622,-115.499
"223","TV1323",37.4574,-115.5036
"224","TV1327",37.4578,-115.5022
"225","TV1329",37.4582,-115.5018
"226","TV1331",37.4592,-115.5019
"227","TV1333",37.4598,-115.5012
"228","TV1340",37.4681,-115.4968
"229","TV1341",37.4602,-115.5002
"230","TV1343",37.4604,-115.4997
"231","TV1344",37.4623,-115.4962
"232","TV1348",37.462,-115.497
"234","TV1354",37.4594,-115.5002
"235","TV1355",37.4627,-115.4979
"236","TV1370",37.4594,-115.4984
"237","TV1402",37.4603,-115.4987
"238","TV1405",37.4714,-115.4917
"239","TV1409",37.4597,-115.4988
"240","TV1410",37.4616,-115.5053
"241","TV1412",37.4598,-115.5
"243","TV1416",37.4659,-115.4966
"244","TV1417",37.4363,-115.4585
"247","TV1421",37.4426,-115.458
"248","TV1423",37.4409,-115.456
"249","TV1431",37.442,-115.4556
"250","TV1500",37.4537,-115.4757
"251","TV1501",37.4538,-115.4764
"252","TV1502",37.4588,-115.4789
"253","TV1504",37.462,-115.4767
"254","TV1505",37.4626,-115.4781
"255","TV1506",37.463,-115.478
"256","TV1507",37.4648,-115.4773
"257","TV1509",37.4642,-115.4743
"258","TV1511A",37.4657,-115.4854
"259","TV1513",37.4661,-115.4804
"260","TV1514",37.4641,-115.479
"261","TV1515",37.4641,-115.479
"262","TV1516",37.4709,-115.479
"265","TV1519",37.4773,-115.4786
"266","TV1520",37.4777,-115.4791
"267","TV1521",37.4804,-115.5042
"268","TV2001",37.4328,-115.4304
"269","TV2002",37.4327,-115.4304
"270","TV2007",37.4325,-115.4305
"271","TV2011",37.4328,-115.4308
"272","TV2012",37.4328,-115.4308
"273","TV2013",37.4328,-115.4307
"274","TV2021",37.4329,-115.4304
"275","TV2022",37.4328,-115.4304
"276","TV2023",37.4329,-115.4302
"277","TV2025",37.4328,-115.4301
"278","TV2028",37.4328,-115.4301
"279","TV2029",37.4327,-115.4301
