Tree,Lat,Lat_deg,Lon,Lon_deg
51C0001,37,22.157,115,26.337
51C0003,37,22.068,115,26.338
51C0005,37,22.007,115,26.175
51C0006,37,22.007,115,26.165
51C0007,37,22.02,115,25.927
51C0008,37,22.056,115,25.917
51C0009,37,22.138,115,25.948
51C0010,37,22.123,115,25.965
51C0011,37,22.136,115,25.959
51C0012,37,22.046,115,26.549
51C0050,37,23.814,115,26.725
51C0051,37,23.358,115,26.401
51C0052,37,23.296,115,26.403
51C0053,37,23.22,115,26.528
51C0054,37,23.18,115,26.495
51C0055,37,22.996,115,26.399
51C0056,37,23.071,115,26.62
51C0057,37,23.1,115,26.615
51C0058,37,23.243,115,26.823
51C0059,37,24.048,115,26.427
51C0060,37,24,115,25.792
51C0061,37,24.032,115,25.605
51C0062,37,24.046,115,25.526
51C0063,37,24.135,115,25.526
51C0064,37,24.138,115,25.341
51C0065,37,24.151,115,24.874
51C0066,37,24.046,115,25.435
51C0067,37,24.042,115,25.65
51C0068,37,24.051,115,25.669
HS0101,37,24.87,115,22.998
HS0102,37,24.864,115,22.999
HS0103,37,24.871,115,23
HS0106,37,24.86,115,23.004
HS0108,37,24.861,115,22.989
HS0109,37,24.875,115,23.02
HS0110,37,24.854,115,22.998
HS0112,37,24.852,115,22.987
HS0114,37,24.85,115,22.987
HS0154,37,24.84,115,23.031
HS0174,37,24.838,115,23.214
HS0176,37,24.835,115,23.223
HS0178,37,24.833,115,23.215
HS0180,37,24.83,115,23.213
HS0182,37,24.827,115,23.22
HS0184,37,24.82,115,23.216
HS0186,37,24.815,115,23.222
HS0188,37,24.825,115,23.238
HS0192,37,24.829,115,23.233
HS0194,37,24.83,115,23.255
HS0196,37,24.835,115,23.243
HS0198,37,24.841,115,23.235
HS0200,37,24.84,115,23.241
HS0202,37,24.841,115,23.241
HS0206,37,24.845,115,23.242
HS0208,37,24.85,115,23.243
HS0210,37,24.842,115,23.251
HS0212,37,24.842,115,23.253
HS0251,37,24.831,115,23.267
HS0252,37,24.836,115,23.27
HS0253,37,24.834,115,23.28
HS0254,37,24.844,115,23.262
HS0256,37,24.843,115,23.263
HS0257,37,24.84,115,23.334
HS0258,37,24.848,115,23.313
HS0259,37,24.836,115,23.338
HS0260,37,24.855,115,23.322
HS0304,37,24.811,115,23.283
HS0306,37,24.785,115,23.301
MB0001,37,25.75,115,33.205
MB0003,37,25.665,115,33.326
MB0004,37,25.548,115,33.23
