Sample Name,Latitude,Longitude
10_MUK_21_N1,60.34808,-1.41373
16_UNA_1_A5,53.8698,-166.446
16_VAL_14_N1,61.11868,-145.684
12_DUD_34_B,-45.88,170.59
16_ALP_110_N1,57.8124,-152.615
16_VAT_3_N1,61.11486,-145.727
10_BAL_3_N1,57.23748,-2.06385
16_FPA_22_N1,54.86072,-163.416
16_ICY_903_N1,53.82674,-166.55
MED1,37.80889,-120.302
14_MOO_3_N1,50.45142,-4.48601
15_FLY_2_1,42.7401,-74.9695
10_ABB_23_N1,57.52338,-2.05796
MED3,37.80889,-120.302
LCC3,41.18417,-122.293
16_ANT_106_N1,57.86179,-152.652
LCC2,41.18417,-122.293
LCC1,41.18417,-122.293
13_EVI_33_N1,59.11226,-3.10809
FEV11,44.39988,-122.298
13_EVI_33_N2,59.11226,-3.10809
16_KCG_37_N1,57.73552,-152.518
PCL20,53.68889,-132.184
13_VFC_4_N2,49.34516,-124.36
13_DBL_1_1,56.187,-3.965
10_CER_28_N1,53.00598,-3.54927
13_VFC_4_N1,49.34516,-124.36
10_WOL_10_N1,54.72694,-1.88793
16_ICY_904_N1,53.82674,-166.55
16_VCC_N1,61.13814,-146.332
16_KCG_61_N1,57.73552,-152.518
12_NEN_17,54.80605,-2.37649
12_NEN_16,54.80605,-2.37649
16_VPT_4_N1,61.11747,-145.777
11_DBL_19_N1,56.187,-3.965
13_DRN_52_N1,58.56763,-4.73794
MUG3,32.9581,-116.914
13_EVI_33_N3,59.11226,-3.10809
MUG1,32.9581,-116.914
14_TIL_4_N1,56.1473,-3.74477
SWC24,43.95944,-123.903
10_ETT_5_N1,55.53803,-2.87426
15_FLY_3_3,42.7401,-74.9695
16_KFC_5_N1,57.77976,-152.445
NFE1,39.99982,-121.27
15_FLY_3_2,42.7401,-74.9695
15_FLY_3_1,42.7401,-74.9695
16_SDP_24_N1,55.32946,-160.502
NFE2,39.99982,-121.27
16_VAL_13_N1,61.11868,-145.684
15_ELP_1_N1,58.06041,-5.02704
MCB2,38.07835,-122.975
NFE3,39.99982,-121.27
HAM6,47.56518,-123.032
MCB3,38.07835,-122.975
10_QUA_10_N1,60.10456,-1.2268
12_OTA_4_N2_B,-45.861,170.64
HAM102,47.56518,-123.032
03_V153408_N1,59.793,-141.085
MCB4,38.07835,-122.975
13_SKA_bulk_A4,62.19917,-6.85528
03_V153408_N2,59.793,-141.085
03_V153408_N3,59.793,-141.085
10_QUA_8_N1,60.10456,-1.2268
10_BAL_2_N1,57.23748,-2.06385
02_V142998_3_N1,59.02,-155.85
13_BKN_54_N1,58.5759,-4.76774
16_SZA_88_N1,57.45567,-152.45
11_DBL_19_N2_B,56.187,-3.965
SWC18,43.95944,-123.903
SWC17,43.95944,-123.903
CVG19,38.3723,-123.055
10_ABB_22_N1,57.52338,-2.05796
CVG10,38.3723,-123.055
14_MOO_11_N1,50.45142,-4.48601
16_AKC_41_N1,55.05603,-162.328
16_PTL_7_D,53.8433,-166.396
14_MOO_5_N1,50.45142,-4.48601
16_PTL_7_E,53.8433,-166.396
16_PTL_7_F,53.8433,-166.396
15_ELP_3_N1,58.06041,-5.02704
16_VPT_3_N1,61.11747,-145.777
11_DBL_1_N1,56.187,-3.965
SCS1,36.78282,-118.9
SCS2,36.78282,-118.9
16_DCR_9_N1,60.02973,-151.683
13_BRA_54_N1,52.7681,1.29785
IHR20,38.81745,-120.374
16_SZA_86_N1,57.45567,-152.45
13_BKN_52_N1,58.5759,-4.76774
15_ELP_2_N1,58.06041,-5.02704
10_NIN_1_N1,59.97777,-1.30036
14_CRO_9_N1,50.16293,-5.29331
LMC12,38.86398,-123.084
16_ALP_109_N1,57.8124,-152.615
OSW13,45.76111,-123.983
16_UGC_2_N1,53.82313,-166.434
LMC17,38.86398,-123.084
16_ICY_901_N1,53.82674,-166.55
13_AMB_bulk_A3,-43.17,172.77
15_FLY_1_3,42.7401,-74.9695
ASK5,42.38973,-122.476
15_FLY_1_2,42.7401,-74.9695
ASK6,42.38973,-122.476
15_FLY_1_1,42.7401,-74.9695
WKY1,39.88002,-121.913
ASK4,42.38973,-122.476
WKY2,39.88002,-121.913
WKY3,39.88002,-121.913
16_ZEN_4_N1,53.84306,-166.388
10_TOM_9_N1,57.25499,-3.36777
13_DRN_53_N1,58.56763,-4.73794
LMC22,38.86398,-123.084
BEL4,37.03983,-119.774
BEL3,37.03983,-119.774
OSW25,45.76111,-123.983
OPB29,42.46389,-124.423
BEL1,37.03983,-119.774
10_ABB_10_N1,57.52338,-2.05796
10_DUM_1_N1,55.06738,-3.61335
NKL15,50.35833,-126.931
15_SNB_2_2,45.69126,-65.82
15_SNB_2_3,45.69126,-65.82
15_SNB_2_1,45.69126,-65.82
16_AMS_32_N1,54.13395,-165.777
16_PEW_2_D,53.8536,-166.417
16_KFC_30_N1,57.77976,-152.445
14_TIL_6_N1,56.1473,-3.74477
16_PEW_2_E,53.8536,-166.417
14_DAL_8_N1,57.68261,-4.26526
11_09_DBL_5_1,56.187,-3.965
10_BOD_7_N1,59.90418,-1.30274
WTB16,38.40525,-123.096
10_CER_26_N1_B,53.00598,-3.54927
WTB18,38.40525,-123.096
13_BRA_5_N1,52.7681,1.29785
TSG21,53.41889,-131.916
AWP26,48.49477,-122.702
AWP27,48.49477,-122.702
TBR2,44.4731,-122.084
10_AYR_13_N1,55.4612,-4.62528
TBR1,44.4731,-122.084
TSG24,53.41889,-131.916
TSG25,53.41889,-131.916
10_QUA_6_N1,60.10456,-1.2268
13_KAK_N1,-42.46,173.24
14_LAG_35_A,56.98585,-4.40993
CAC2,38.64454,-120.36
13_KAK_N2,-42.46,173.24
CAC1,38.64454,-120.36
13_KAK_N3,-42.46,173.24
13_KAK_N4,-42.46,173.24
16_UGC_1_N1,53.82313,-166.434
