siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
TV1306,70.2891,TV1323,70.3594,TV0575,70.3555,TV0586,70.3789,TV1306,70.2891,TV0576,100.1719
51C0051,45.0391,51C0051,45.3984,51C0068,45.1172,TV2811,44.0156,51C0054,45.3789,51C0059,70.4805
TVS103a,31.043,MR0028,32.8867,MR0026,28.6992,MR0028,29.4922,MR0009,32.2227,MR0009,44.4141
TV1118,22.0938,TV1119,23.5625,TVS101a,23.6211,PV0010,22.9922,TV1134,25.6992,TV0369,29.9648
MB0018,14.8047,PV0002,16.957,PV0003,17.1367,TVS0204,18.2539,PV0003,19.2188,PV0004,24.1133
PV0002,8.1992,TVS0206,12.2734,51C0008,13.2031,TV0369,13.1992,TV2256,13.5664,MB0019,17.6133
TV2260,3.418,TV2263,8.0312,MB0018,9.3594,51C0012,9.1406,MB0018,8.7383,51C0006,12.3711
NA,NA,MB0016,4.4688,TV1517,5.7578,MB0005,6.1602,TVS0210,5.9336,TVS0208,8.2578
NA,NA,NA,NA,TV1132,2.918,TV2251,3.2227,TV1519,4.3242,TV2260,5.4531
