siteID_trueRandom1,areaCoverage_trueRandom1,siteID_trueRandom2,areaCoverage_trueRandom2,siteID_trueRandom3,areaCoverage_trueRandom3,siteID_trueRandom4,areaCoverage_trueRandom4,siteID_trueRandom5,areaCoverage_trueRandom5
TV1405,33.875,TV2021,43.1795,MB0017,42.2981,TV0899,33.3782,TV1513,32.1635
51C0001,13.0353,TV1119,12.1474,TV1095,15.0994,51C0001,12.6667,51C0001,14.7179
MB0018,6.6827,MB0017,4.1571,TV1118,5.6122,MB0018,6.9006,MB0018,6.6186
