id,area,area_removed
TV1500,30.020905643533062,218409292.096993
MB0017,17.5429892356432,38942206.852
HS0257,6.491857895246757,34490628.293656
TV1118,2.251196879636023,13235848.696375
MR0004,1.212526235544846,3241303.760701
MB0018,0.2960527974722344,2860348.480809
PV0012,0.049533146981779796,769458.161184
TV1520,3.2040380722515325e-7,154590.498727
TV1519,0,1.31289
HS0212,NA,NA
TV2028,NA,NA
PV0002,NA,NA
TV1329,NA,NA
TV1505,NA,NA
51C0050,NA,NA
TV0571,NA,NA
TV1402,NA,NA
MR0009,NA,NA
TV1255,NA,NA
HS0210,NA,NA
51C0061,NA,NA
TV0610,NA,NA
TV2789,NA,NA
TV0952,NA,NA
MB0022,NA,NA
TV1416,NA,NA
TV2297,NA,NA
TV2778,NA,NA
MB0120,NA,NA
MB0006,NA,NA
HS0103,NA,NA
TV0893,NA,NA
TV1517,NA,NA
MB0023,NA,NA
MR0042,NA,NA
TV1151,NA,NA
TV0574,NA,NA
PV0004,NA,NA
51C0064,NA,NA
TVS101a,NA,NA
MB0008,NA,NA
TV1258,NA,NA
TV1409,NA,NA
TV2079,NA,NA
MB0121,NA,NA
PV0003,NA,NA
HS0258,NA,NA
TVS0208,NA,NA
51C0062,NA,NA
TV1178,NA,NA
TV2305,NA,NA
TV1225,NA,NA
51C0066,NA,NA
MR0064,NA,NA
TV1165,NA,NA
51C0010,NA,NA
MB0007,NA,NA
TV1257,NA,NA
51C0012,NA,NA
TV2049,NA,NA
TV2269,NA,NA
MB0024,NA,NA
51C0051,NA,NA
MR0002,NA,NA
TV1221,NA,NA
TV2260,NA,NA
TV2087,NA,NA
TV2002,NA,NA
TV1506,NA,NA
TV1186,NA,NA
51C0053,NA,NA
TV2030,NA,NA
TV1297,NA,NA
MB0128,NA,NA
HS0254,NA,NA
51C0001,NA,NA
MB0112,NA,NA
MR0043,NA,NA
HS0304,NA,NA
TV1504,NA,NA
51C0056,NA,NA
TV2801,NA,NA
TV1218,NA,NA
TV1511A,NA,NA
TV1261,NA,NA
TV0720,NA,NA
TVS0205,NA,NA
TV1194,NA,NA
TV0532,NA,NA
TV2038,NA,NA
MR0006,NA,NA
TV1431,NA,NA
TV0795,NA,NA
TV2001,NA,NA
TV1162,NA,NA
51C0007,NA,NA
HS0102,NA,NA
TV2012,NA,NA
TV1229,NA,NA
TV0400,NA,NA
TV0545,NA,NA
TV1507,NA,NA
TV1289,NA,NA
TV1516,NA,NA
TV2780,NA,NA
TV2029,NA,NA
TV1320,NA,NA
MR0007,NA,NA
MB0124,NA,NA
TV2013,NA,NA
TV1161,NA,NA
TV2070,NA,NA
TV2022,NA,NA
TVS0203,NA,NA
HS0176,NA,NA
MB0004,NA,NA
TV0480,NA,NA
MR0028,NA,NA
TV1412,NA,NA
PV0010,NA,NA
TV2793,NA,NA
MB0011,NA,NA
HS0259,NA,NA
51C0059,NA,NA
TV2263,NA,NA
TV1174,NA,NA
TV1331,NA,NA
TV2276,NA,NA
MR0058,NA,NA
HS0260,NA,NA
TV1267,NA,NA
TV1304,NA,NA
MB0003,NA,NA
TV1246,NA,NA
MB0123,NA,NA
HS0186,NA,NA
TV2767,NA,NA
51C0065,NA,NA
MR0001,NA,NA
TV0895,NA,NA
HS0306,NA,NA
TV1147,NA,NA
TV2023,NA,NA
TV0537,NA,NA
TV2041,NA,NA
MB0013,NA,NA
HS0114,NA,NA
TV2763,NA,NA
HS0198,NA,NA
TV1172,NA,NA
HS0256,NA,NA
TV1509,NA,NA
TV2512,NA,NA
