siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
PLA1,35.5227,BS5,35.9732,MCL7,35.9451,MCL4,35.9236,BS4,36.2367,CTW7,36.8946
BS5,34.5341,DIA6,34.9983,OJAI3,34.9582,DIA5,34.9666,OJAI3,35.2497,OJAI6,35.9444
DIA6,33.5593,WLT1,34.1053,DIA6,33.9835,OJAI4,33.9732,DIA8,34.2783,PRI5,34.9546
WLT4,32.5987,PRI5,33.1662,MAD23,32.8882,CTW6,33.0234,CTW7,33.3282,DIA8,34.0155
CTW7,31.6486,CRE3,32.0616,CTW8,31.9401,WLT4,32.0628,WLT1,32.435,RDD3,33.044
PRI5,30.7095,NAP7,31.1701,NAP6,31.0588,BEL5,31.1746,RRD4,31.5614,WLT4,32.1705
NAP7,29.818,PLA2,30.2857,WLT4,30.0982,NAP6,30.2934,PAR894,30.6775,NAP6,31.2098
BEL5,28.9298,CTW7,29.3356,BEL5,29.2102,PRI5,29.3543,PRI5,29.7384,FT1,30.3285
RDD3,28.0562,FT3,28.4831,HAM2,28.3464,HAM2,28.4905,NAP6,28.8572,PLA4,29.463
FT1,27.1907,BEL3,27.6433,RDD3,27.4744,LAY10,27.6732,HAM4,28.0045,BEL3,28.5786
HAM3,26.327,RDD3,26.7814,CHE100x,26.6539,RDD3,26.7974,FT8,27.1639,HAM4,27.7387
OJAI1,25.472,LAY9,25.9644,LAY10,25.8366,FT9,25.9549,PLA1,26.1708,FOL6,26.8861
MAD10,24.6264,HAM3,25.1004,SUG7,25.0406,MAD23,25.0014,LAY10,25.3535,CD161,26.0815
CHE102x,23.7986,PAR894,24.2184,CD164,24.2508,CD163,24.2061,BEL5,24.4654,LAY9,25.2859
LAY10,22.9813,OJAI1,23.418,FT8,23.4102,OJAI1,23.351,CD163,23.6765,SUG3,24.4689
CD161,22.184,SUG7,22.6219,SPRB,22.6639,CHE100x,22.5306,SUG7,22.8805,CHE922,23.6777
SUG7,21.3879,CR173,21.8717,PRI5,21.7248,SUG7,21.7346,HV5,22.231,MRD5,22.9076
SPRB,20.6417,MOH8,21.2726,MOH8,21.1328,MRD3,21.0265,NIC6,21.6152,SPRB,22.236
MRD2C,19.9314,MER8,20.6512,MRD2C,20.4224,MOH8,20.4276,MER8,20.9938,MOH8,21.4897
MER8,19.3046,SPRB,19.9049,NIC9,19.8079,NIC9,19.813,UKI7,20.4125,UKI2,20.8977
NIC10,18.6877,UKI7,19.3237,HAT3,19.2289,UKI4,19.2339,HAT3,19.8335,MER8,20.3179
CVB3,18.0791,MRD3,18.6156,UKI7,18.6476,CVB3,18.6254,OJAI1,18.9914,CVB6,19.6964
MOH8,17.4871,PAT3,18.042,LAY5,18.1378,HAT3,18.0464,SPRB,18.2451,PAT3,19.1214
HAT4,16.8997,HAT2,17.4642,PAT3,17.564,MER6,17.5365,MOH8,17.6462,LAY5,18.5476
UKI7,16.3185,CVB3,16.8555,MER5,17.0525,KIN1,17.0442,ANG5,17.14,NIC6,18.0378
PAT3,15.7448,NIC10,16.2387,MAD1,16.5802,LAY5,16.5342,LAY5,16.63,LYN1,17.4221
LAY5,15.235,MAD2,15.7432,ANG7,16.1159,ANG7,16.0341,PAT3,16.0564,OJAI1,16.956
ANG7,14.7346,LYN1,15.2773,CVB6,15.5409,JAS1,15.5841,MAD2,15.5611,HAT2,16.1555
MAD2,14.2393,JAS2,14.8278,JAS4,15.0994,PAT1,15.0494,JAS4,15.1195,SON7,15.5776
KIN1,13.7468,COT4,14.4125,LYN1,14.6348,COT1,14.6311,CCNP3,14.6691,JAS4,15.0894
SON7,13.2587,CCNP3,13.9622,COT1,14.2167,SON5,14.2221,MRD5,13.9976,KIN1,14.6479
LYN1,12.7941,SON5,13.5557,CEN7,13.8299,MAD1,13.7499,WLT4,13.5826,MAD2,14.1557
CCNP3,12.3437,BLU5,13.1601,BLU5,13.4424,MC14,13.3688,COT5,13.1675,CCNP3,13.6603
JAS1,11.8939,ANG7,12.6598,MC14,13.0612,BLU1,12.9926,BLU5,12.7807,CLO7,13.2098
COT1,11.4756,KIN1,12.2652,TIN12,12.7047,CLO7,12.6287,SON6,12.3815,COT5,12.8194
BLU6,11.0843,WLT4,11.8502,KIN1,12.2124,WLT1,12.281,CLO7,11.9911,ANG7,12.4045
MAD29,10.7036,MC7v,11.4835,NAP3,11.8641,CEN2,11.9348,MC12,11.6278,BLU4,11.9044
MC14,10.3252,NOV3,11.1515,SON6,11.4627,CCNP3,11.4845,DUN1,11.2845,MC7v,11.5265
CLO7,9.9613,NAP4,10.7883,DIG5,11.1629,ALH1,11.0812,KIN2,10.8535,WLT1,11.1689
NAP4,9.602,ALH5,10.4912,DRY3,10.8703,NOV3,10.7492,DIG5,10.5537,NAP4,10.8213
