siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...19,areaCoverage_10...20,siteID_7,areaCoverage_7,siteID_10...23,areaCoverage_10...24,siteID_8,areaCoverage_8,siteID_10...27,areaCoverage_10...28,siteID_9,areaCoverage_9,siteID_10...31,areaCoverage_10...32,siteID_10...33,areaCoverage_10...34
MAD2,16.313,NA,NA,HAM1,15.6266,NA,NA,SON7,16.257,NA,NA,PAT1,15.8743,LAY9,16.4773,PRI5,16.2288,NA,NA,HAM2,16.524,NA,NA,HAM2,15.9302,NA,NA,SCL1,15.7926,NA,NA,SCL1,16.617
PRI5,15.3095,NA,NA,PAT3,14.9512,NA,NA,NAP8,15.3851,NA,NA,LAY6,15.2953,HAM4,15.9698,HAM1,15.7216,NA,NA,SON7,16.0046,NA,NA,PLA2,15.4323,NA,NA,SON7,15.2733,NA,NA,HAM2,16.1052
PLA1,14.725,NA,NA,PO1,14.519,NA,NA,PAT1,14.7503,NA,NA,MER8,14.8136,RDD3,15.4962,SON7,15.2012,NA,NA,SCL1,15.4816,NA,NA,UKI2,14.6677,NA,NA,LAY11,14.6647,NA,NA,PLA1,15.4706
PO6,14.2433,NA,NA,DIG5,14.0929,NA,NA,HAM3,14.2385,NA,NA,HAM1,14.3043,SIL1,14.4755,SCL1,14.6783,NA,NA,MER8,14.9999,NA,NA,MAD1,14.1907,NA,NA,PLA1,14.0802,NA,NA,PO6,14.9889
OJAI1,13.8274,NA,NA,PLA2,13.5949,NA,NA,SCL1,13.7155,NA,NA,PO6,13.8226,MAD1,13.9919,SPRB,14.2423,NA,NA,PO6,14.5182,NA,NA,RDD3,13.7171,NA,NA,HAM2,13.5731,NA,NA,MER3,14.5717
MER7,13.4119,NA,NA,MER3,13.1771,NA,NA,SPRB,13.2796,NA,NA,SCL1,13.2996,PAT3,13.3166,MAD1,13.7571,NA,NA,MAD1,14.033,NA,NA,PO1,13.2849,NA,NA,RDD3,13.0995,NA,NA,NAP8,13.6879
DIG5,12.9858,NA,NA,RDD3,12.6897,NA,NA,RDD3,12.8061,NA,NA,OJAI1,12.8641,DIG5,12.8905,MER3,13.3399,NA,NA,PLA3,13.4526,NA,NA,MER3,12.8677,NA,NA,DIG5,12.673400000000001,NA,NA,MAD2,13.1842
SCL1,12.4628,NA,NA,SCL1,12.1667,NA,NA,OJAI1,12.3706,NA,NA,MAD2,12.3586,SON7,12.3701,RDD7,12.918,NA,NA,DIG5,13.0265,NA,NA,SON7,12.3473,NA,NA,PAT3,11.998,NA,NA,RDD5,12.773
SON6,12.0562,NA,NA,SON7,11.6473,NA,NA,TIN12,11.9618,NA,NA,MAD35,11.9029,TIN12,11.9613,PO6,12.4364,NA,NA,NIC10,12.3044,NA,NA,TIN12,11.9385,NA,NA,OJAI1,11.5821,NA,NA,MF36,12.3797
CCNP3,11.6548,NA,NA,MF38,11.2428,NA,NA,MAD1,11.4847,NA,NA,SON7,11.3984,MF38,11.5625,TIN12,12.0276,NA,NA,NAP8,11.4205,NA,NA,OJAI1,11.4974,NA,NA,MAD2,11.0766,NA,NA,TIN6,11.9933
NIC9,10.9283,NA,NA,TIN5,10.8573,NA,NA,MER8,10.9982,NA,NA,RDD5,10.9872,MER3,11.1447,OJAI1,11.5864,NA,NA,MF36,11.0245,NA,NA,MF32,11.1068,NA,NA,MER5,10.6762,NA,NA,MAD8,11.6174
