id,area
NAP3,89.769903856541
SON1,81.54909797990709
MAD46,73.40571099348242
FOL8,65.39915739440424
ORO2,58.056965899679525
CLO5,51.060458751935464
RED5,45.0037809225451
HAM24,39.14335097763854
SCL1,33.32973245471895
MARG,28.884447805264486
MF37,25.35018544524864
CRE2,21.8951424147492
SPRB,19.03064347700839
GRV7,16.69367325627453
SW664,14.405314896834827
OKG2,12.487847034676461
TIN12,10.984480213172015
FHL4,9.6935652299161
OJAI6,8.420654639732096
BS5,7.181952396384718
PEN10,6.153901551978683
CTW6,5.2284757480825315
SUN3,4.477692556983904
CCNP3,3.777321666486623
DRY3,3.1057578049043966
LAY5,2.5980339202765474
SIL1,2.102913110799035
COT1,1.663605919844442
TAC7,1.346728601778834
DIA6,1.062259191242663
WLT1,0.8065968096215477
ISL5,0.5599366245363868
HH5,0.4393071909545929
PO6,0.3240790752943718
PT5,0.2304562313204422
DUN1,0.16924129487594974
FT8,0.11342767635303012
ROV6,0.07921932951640201
SPRC,0.04501098267977387
NOV3,0.014403514457527638
RED7,0.005401317921572863
MAD17,0.0018004393071909548
SON7,0
CR64,NA
CR151,NA
MOD3,NA
ONEC,NA
PEN9,NA
FHL8,NA
HAM5,NA
ION4,NA
CD168,NA
CR67,NA
HAM2,NA
TAC1,NA
CR153,NA
HH2,NA
HV5,NA
HAM14,NA
MRD2C,NA
ALH6,NA
CR156,NA
OJAI1,NA
CR61,NA
FHL2,NA
CLO4,NA
LAY2,NA
BLU1,NA
NAP2,NA
WLT4,NA
MCK2,NA
FT9,NA
MC13,NA
CTW7,NA
MAD12,NA
JAS5,NA
CR154,NA
RED4,NA
MARC,NA
MAD5,NA
SUG7,NA
SMAR4,NA
CR125,NA
SMAR6,NA
HH6,NA
CHI3,NA
HEA1,NA
CLO2,NA
CTW2,NA
CR173,NA
ALH3,NA
DRY4,NA
MTR4,NA
JAS4,NA
HH3,NA
CR127,NA
MRD5,NA
MAD40,NA
HH8,NA
ISL3,NA
CR94,NA
PAT3,NA
HAM16,NA
MAD15,NA
RDD7,NA
LAY9,NA
HAM1,NA
HAM21,NA
MAD11,NA
SUG3,NA
ANG7,NA
CD166,NA
LAY7,NA
CLO7,NA
HAM17,NA
MER3,NA
LYN4,NA
CR98,NA
TAC6,NA
BLU6,NA
PEN7,NA
CRE1,NA
CR172,NA
HAT4,NA
MER2,NA
ALH4,NA
MCK8,NA
HAM7,NA
LAY6,NA
CD162,NA
MF31,NA
ISL6,NA
LAY3,NA
CD163,NA
CAS9,NA
SUN2,NA
CR66,NA
SMAR1,NA
BLU7,NA
ORO4,NA
RDD6,NA
MOH6,NA
MTR5,NA
SUN1,NA
NAP4,NA
COT2,NA
NOV1,NA
HV1,NA
CVB3,NA
CR93,NA
SPRA,NA
MAD35,NA
MC8,NA
CRE8,NA
GRV1,NA
CR128,NA
PAY8,NA
MOD8,NA
MAD33,NA
BS1,NA
MAD32,NA
NAP1,NA
CR175,NA
OAKG,NA
CLO3,NA
FHL5,NA
CR152,NA
CEN4,NA
TIN10,NA
OKG3,NA
BLU5,NA
MF33,NA
MAD27,NA
RED1,NA
CEN7,NA
PEN6,NA
