siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
HEA1,98.1313,HEA1,98.1313,HEA1,98.1313,HEA8,98.1313,HEA2,98.1313,HEA1,98.1313,HEA2,98.1313,HEA8,98.1313,HEA8,98.1313,HEA8,98.1313
PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759,PLA3,96.2759
DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258,DAN2,94.4258
MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068,MAD18,92.6068
PEN10,90.8402,PEN9,90.8402,PEN7,90.8402,PEN7,90.8402,PEN6,90.8402,PEN9,90.8402,PEN7,90.8402,PEN7,90.8402,PEN6,90.8402,PEN7,90.8402
MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787,MAD46,89.0787
ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173,ALH1,87.3173
LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622,LYN1,85.5622
ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223,ION5,83.8223
NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388,NAP8,82.1388
SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572,SON1,80.4572
NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038,NAP2,78.8038
RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511,RDD3,77.1511
MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145,MARC,75.5145
CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909,CR66,73.8909
DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747,DUN1,72.2747
MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639,MER2,70.6639
HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717,HAM24,69.0717
ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945,ONED,67.4945
ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351,ORO2,65.9351
MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824,MOH2,64.3824
ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367,ANG5,62.8367
SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301,SUN7,61.301
DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901,DIA1,59.7901
SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858,SMAR6,58.2858
MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925,MAD5,56.7925
CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154,CHE922,55.3154
KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715,KIN3,53.8715
MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466,MCL2,52.4466
CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376,CTW2,51.0376
MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286,MOD8,49.6286
CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257,CRE1,48.257
SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135,SPRB,46.9135
NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796,NOV4,45.5796
PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626,PSK4,44.2626
WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687,WLT1,42.9687
OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956,OJAI4,41.6956
BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322,BS5,40.4322
MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733,MAD34,39.1733
SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219,SUG3,37.9219
FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782,FT1,36.6782
MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624,MTR3,35.4624
HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548,HH1,34.2548
MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065,MDT6,33.065
FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894,FOL1,31.894
OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346,OAKG,30.7346
FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594,FHL3,29.594
CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636,CLO7,28.4636
CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416,CHI2,27.3416
PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23,PAY4,26.23
SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093,SIL1,25.2093
BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033,BEL6,24.2033
PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998,PRI5,23.1998
CRP2,22.2006,CRP1,22.2006,CRP5,22.2006,CRP5,22.2006,CRP3,22.2006,CRP2,22.2006,CRP5,22.2006,CRP2,22.2006,CRP1,22.2006,CRP3,22.2006
ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253,ROV8,21.2253
MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174,MRD2C,20.3174
CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144,CVB3,19.4144
CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126,CEN1,18.5126
TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725,TAC7,17.6725
UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016,UKI4,16.9016
NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175,NIC9,16.175
PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996,PAT3,15.4996
LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901,LAY10,14.8901
PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056,PLA1,14.3056
SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827,SCL1,13.7827
SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623,SON7,13.2623
HAM1,12.7551,HAM3,12.7551,HAM1,12.7551,HAM2,12.7551,HAM2,12.7551,HAM3,12.7551,HAM2,12.7551,HAM2,12.7551,HAM3,12.7551,HAM1,12.7551
MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588,MAD2,12.2588
MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723,MER8,11.7723
PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906,PO6,11.2906
OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495,OJAI1,10.8495
DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001,DIG5,10.423400000000001
RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015,RDD7,10.0015
