id,area,area_removed
BEL3,NA,NA
TAC7,NA,NA
DRY4,NA,NA
MF36,NA,NA
PAR894,NA,NA
MDT4,NA,NA
HAM22,NA,NA
ONEC,NA,NA
MTR4,NA,NA
TAC6,NA,NA
MAD40,NA,NA
FOL6,NA,NA
HH6,NA,NA
MAD8,NA,NA
CEN2,NA,NA
PAY5,NA,NA
JAS1,NA,NA
HAT2,NA,NA
MAD4,NA,NA
HAM4,NA,NA
MAD2,NA,NA
HAM18,NA,NA
FHL8,NA,NA
CR156,NA,NA
SUN5,NA,NA
PEN8,NA,NA
ORO4,NA,NA
MAD14,NA,NA
MTR3,NA,NA
PLA4,NA,NA
CAS2,NA,NA
MAD23,NA,NA
DAN2,NA,NA
KIN2,NA,NA
PSK4,NA,NA
OJAI1,NA,NA
MAD11,NA,NA
CRE5,NA,NA
LAY7,NA,NA
CR175,NA,NA
HAMm12,NA,NA
MF34,NA,NA
CR152,NA,NA
LAY5,NA,NA
SW664,NA,NA
MAD9,NA,NA
CHI3,NA,NA
CR153,NA,NA
CRP5,NA,NA
MAD33,NA,NA
CLO7,NA,NA
CD166,NA,NA
PAT3,NA,NA
LAY3,NA,NA
CTW8,NA,NA
NIC9,NA,NA
MCK3,NA,NA
CR91,NA,NA
NAP7,NA,NA
MTR7,NA,NA
TIN10,NA,NA
SMAR3,NA,NA
BLU7,NA,NA
MAD46,NA,NA
MER7,NA,NA
CTW2,NA,NA
TIN6,NA,NA
HV5,NA,NA
HAM20,NA,NA
UKI2,NA,NA
CR95,NA,NA
MAD35,NA,NA
PT3,NA,NA
MAD7,NA,NA
RRD4,NA,NA
ION4,NA,NA
BS2,NA,NA
OKG5,NA,NA
CHE102x,NA,NA
CR173,NA,NA
CEN4,NA,NA
NOV3,NA,NA
ALH6,NA,NA
ANG7,NA,NA
CR123,NA,NA
SON2,NA,NA
OJAI3,NA,NA
HAM10,NA,NA
WLT1,NA,NA
CR62,NA,NA
ROV2,NA,NA
HAM15,NA,NA
TIN1,NA,NA
MRD2C,NA,NA
ROV7,NA,NA
PLA1,NA,NA
CRE2,NA,NA
ALH2,NA,NA
SUN1,NA,NA
FOL5,NA,NA
CRE1,NA,NA
PRI5,NA,NA
MC12,NA,NA
ALH5,NA,NA
MER5,NA,NA
CD165,NA,NA
ISL1,NA,NA
UKI4,NA,NA
MC10v,NA,NA
MAD10,NA,NA
CR98,NA,NA
CR122,NA,NA
MAD27,NA,NA
CR121,NA,NA
DUN5,NA,NA
HEA8,NA,NA
BEL4,NA,NA
CR61,NA,NA
CR65,NA,NA
ANG5,NA,NA
OAKB,NA,NA
MOH8,NA,NA
ALH1,NA,NA
MAD45,NA,NA
MAD43,NA,NA
UCD2,NA,NA
CR171,NA,NA
MAD36,NA,NA
PAT1,NA,NA
BLU2,NA,NA
SCL1,NA,NA
SPRB,NA,NA
CRP1,NA,NA
CR67,NA,NA
OAKA,NA,NA
CCNP3,NA,NA
MCK2,NA,NA
ANG2,NA,NA
HV4A,NA,NA
MAD1,NA,NA
OAKG,NA,NA
HAM19,NA,NA
CR151,NA,NA
