siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_10...5,areaCoverage_10...6,siteID_3,areaCoverage_3,siteID_10...9,areaCoverage_10...10,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...17,areaCoverage_10...18,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10...25,areaCoverage_10...26
MDT6,77.1842,MDT6,77.1842,NA,NA,SPRC,77.1422,NA,NA,MDT6,77.1842,MDT6,77.1842,SPRC,77.1424,NA,NA,MAD19,77.1827,SPRC,77.1422,SPRC,77.1424,MDT6,77.1842
HAM13,75.887,HAM14,75.887,NA,NA,MDT6,75.8388,NA,NA,HAM14,75.887,HAM13,75.887,MDT6,75.839,NA,NA,MDT6,75.8793,MDT6,75.8388,MDT6,75.839,HAM13,75.887
KIN3,74.5925,KIN3,74.5924,NA,NA,HAM14,74.5416,NA,NA,KIN3,74.5924,KIN3,74.5924,HAM14,74.5418,NA,NA,HAM14,74.582,HAM13,74.5416,HAM13,74.5418,KIN3,74.5924
PAR894,73.3096,PAR894,73.3094,NA,NA,KIN3,73.2472,NA,NA,PAR894,73.3094,PAR894,73.3094,KIN3,73.2473,NA,NA,KIN3,73.2876,KIN3,73.2472,KIN3,73.2473,PAR894,73.3094
DUN1,72.0284,DUN1,72.0284,NA,NA,PAR894,71.9642,NA,NA,DUN1,72.0284,DUN1,72.0284,PAR894,71.9644,NA,NA,PAR894,72.0046,PAR894,71.9642,PAR894,71.9644,DUN1,72.0284
MAD8,70.7676,PAY4,70.77,NA,NA,DUN1,70.683,NA,NA,MAD8,70.7657,MAD8,70.764,DUN1,70.6832,NA,NA,DUN1,70.7234,DUN1,70.683,DUN1,70.6832,PAY4,70.77
PAY4,69.5095,MAD6,69.5162,NA,NA,PAY4,69.4247,NA,NA,PAY4,69.5076,PAY4,69.5058,PAY4,69.4248,NA,NA,PAY4,69.4651,PAY4,69.4247,PAY4,69.4248,MAD6,69.5162
MAD6,68.2556,PSK4,68.2659,NA,NA,MAD6,68.1708,NA,NA,MAD6,68.2537,MAD6,68.252,MAD6,68.171,NA,NA,MAD6,68.2112,MAD6,68.1708,MAD6,68.171,PSK4,68.2659
PSK4,67.0053,ONED,67.0215,NA,NA,PSK4,66.9207,NA,NA,PSK4,67.0034,PSK4,67.0017,PSK4,66.9207,NA,NA,PSK4,66.9611,PSK4,66.9207,PSK4,66.9207,ONED,67.0215
ONED,65.7609,ION4,65.781,NA,NA,ONED,65.6763,NA,NA,ONED,65.759,ONED,65.7573,ONED,65.6763,NA,NA,ONED,65.7165,ONED,65.6763,ONED,65.6763,ION5,65.7809
ION5,64.5203,NAP8,64.544,NA,NA,ION4,64.4357,NA,NA,ION5,64.5184,ION4,64.5169,ION5,64.4357,NA,NA,ION5,64.4759,ION4,64.4357,ION5,64.4357,NAP8,64.5439
NAP8,63.2833,NOV1,63.3165,NA,NA,NAP8,63.1987,NA,NA,NAP8,63.2814,NAP8,63.2798,NAP8,63.1987,NA,NA,NAP8,63.2389,NAP8,63.1987,NAP8,63.1987,NOV1,63.3165
NOV1,62.0557,MAD8,62.0968,NA,NA,NOV1,61.9711,NA,NA,NOV1,62.0538,NOV1,62.0523,NOV1,61.9713,NA,NA,NOV1,62.0115,NOV1,61.9711,NOV1,61.9713,MER2,62.0967
MER2,60.8361,MER2,60.8772,NA,NA,MER2,60.7515,NA,NA,MER2,60.8342,MER2,60.8326,MER2,60.7515,NA,NA,MER2,60.7917,MER2,60.7515,MER2,60.7515,PEN10,60.8853
PEN10,59.6247,PEN10,59.6658,NA,NA,PEN10,59.5401,NA,NA,PEN10,59.6228,PEN10,59.6213,PEN10,59.5401,NA,NA,PEN10,59.5805,PEN10,59.5401,PEN10,59.5401,MARD,59.6866
MARD,58.4259,MARD,58.4671,NA,NA,MARD,58.3414,NA,NA,MARD,58.4241,MARD,58.4224,MARD,58.3414,NA,NA,MARD,58.3817,MARD,58.3414,MARD,58.3414,HV4A,58.51
HV4A,57.2492,HV4A,57.2903,NA,NA,HV4A,57.1648,NA,NA,HV4A,57.2475,HV4A,57.2458,HV4A,57.1648,NA,NA,HV4A,57.205,HV4A,57.1648,HV4A,57.1648,HH2,57.3363
HH2,56.0757,HH2,56.1168,NA,NA,HH2,55.9911,NA,NA,HH2,56.0738,HH2,56.0722,HH2,55.9911,NA,NA,HH2,56.0313,HH2,55.9911,HH2,55.9911,ROV8,56.1703
MTR6,54.9097,ROV8,54.9508,NA,NA,MTR6,54.8252,NA,NA,MTR6,54.908,ROV8,54.9063,MTR6,54.8252,NA,NA,ROV8,54.8653,MTR6,54.8252,ROV8,54.8251,MTR6,55.0045
ROV8,53.7437,MTR6,53.7848,NA,NA,ROV8,53.6591,NA,NA,ROV8,53.7418,MTR6,53.7403,ROV8,53.6593,NA,NA,MTR6,53.6995,ROV8,53.6591,MTR6,53.6593,MAD8,53.8392
CLO3,52.5789,CLO3,52.6202,NA,NA,CLO3,52.4945,NA,NA,CLO3,52.5772,CLO3,52.5755,CLO3,52.4945,NA,NA,CLO3,52.5347,CLO3,52.4945,CLO3,52.4945,CLO3,52.6744
MAD34,51.4221,CEN7,51.4737,NA,NA,CEN7,51.348,NA,NA,CEN7,51.425,MAD34,51.4186,CEN7,51.3424,NA,NA,MAD34,51.3779,NAP1,51.3638,CEN7,51.348,MAD23,51.5138
CEN7,50.27,NAP1,50.343,NA,NA,NAP1,50.2172,NA,NA,NAP1,50.2945,NAP1,50.2881,NAP1,50.2117,NA,NA,NAP1,50.2473,OAKG,50.2496,NAP1,50.2174,CEN7,50.3674
NAP1,49.1395,OAKG,49.2288,NA,NA,OAKG,49.103,NA,NA,OAKG,49.1801,OAKG,49.1737,OAKG,49.0974,NA,NA,OAKG,49.133,CEN4,49.14,OAKG,49.103,NAP1,49.2367
OAKG,48.0251,CRE3,48.1242,NA,NA,CRE3,47.9985,NA,NA,CRE3,48.0755,CEN4,48.0643,CRE3,47.9929,NA,NA,CEN4,48.0236,CRE3,48.0354,CRE3,47.9985,OAKG,48.1223
CRE3,46.9205,MAD23,47.0289,NA,NA,FOL1,46.9207,NA,NA,MAD35,46.9813,CRE3,46.9598,FOL1,46.9152,NA,NA,CRE3,46.919,MAD35,46.9412,FOL1,46.9209,CRE3,47.0179
FOL1,45.843,FOL1,45.9512,NA,NA,MOD3,45.85,NA,NA,FOL1,45.9037,FOL1,45.8822,MOD3,45.8445,NA,NA,FOL1,45.8412,FOL1,45.8636,MOD3,45.8502,FOL1,45.9401
MOD3,44.7723,MOD3,44.8805,NA,NA,CHI2,44.7833,NA,NA,MOD3,44.833,MOD3,44.8115,CHI2,44.7778,NA,NA,MOD3,44.7706,MOD3,44.7929,CHI2,44.7833,MOD3,44.8695
CHI2,43.7054,CHI2,43.8137,NA,NA,MAD35,43.7293,NA,NA,CHI2,43.7661,CHI2,43.7446,MAD35,43.7238,NA,NA,CHI2,43.7038,CHI2,43.726,MAD35,43.7293,CHI2,43.8027
SUN7,42.6584,MAD35,42.7597,NA,NA,SUN7,42.6821,NA,NA,SUN7,42.7191,SUN7,42.6976,SUN7,42.6766,NA,NA,MF38,42.6546,MF38,42.6784,SUN7,42.6823,MAD35,42.7487
FHL8,41.6123,SUN7,41.7126,NA,NA,FHL8,41.6362,NA,NA,MF38,41.6722,FHL8,41.6515,FHL8,41.6307,NA,NA,SUN7,41.6075,SUN7,41.6312,FHL8,41.6362,SUN7,41.7016
MF38,40.5722,MF38,40.6656,NA,NA,MF38,40.5941,NA,NA,FHL8,40.6261,MF38,40.6096,MF38,40.5924,NA,NA,FHL8,40.5614,FHL8,40.5853,MF38,40.5943,FHL8,40.6557
TAC8,39.5549,FHL8,39.6197,NA,NA,TAC8,39.5767,NA,NA,MAD23,39.5851,TAC8,39.5922,TAC8,39.575,NA,NA,TAC8,39.5442,TAC8,39.5679,TAC8,39.5769,MF38,39.6156
MCL4,38.5402,TAC8,38.6023,NA,NA,MCL4,38.5623,NA,NA,TAC8,38.5678,MCL4,38.5776,MCL4,38.5605,NA,NA,MCL4,38.5296,MCL4,38.5533,MCL4,38.5623,TAC8,38.5982
CRP3,37.5296,MCL4,37.5877,NA,NA,CRP2,37.5514,NA,NA,MCL4,37.5533,CRP1,37.5669,CRP5,37.5497,NA,NA,CRP5,37.5189,CRP1,37.5427,CRP2,37.5516,MCL4,37.5836
OJAI4,36.5359,CRP2,36.5771,NA,NA,OJAI4,36.558,NA,NA,CRP1,36.5425,OJAI4,36.5733,OJAI4,36.5561,NA,NA,OJAI4,36.5253,OJAI4,36.549,OJAI4,36.558,CRP1,36.5729
PLA1,35.5428,OJAI4,35.5834,NA,NA,PLA1,35.5648,NA,NA,OJAI4,35.5488,BS5,35.5846,BS5,35.5674,NA,NA,PLA1,35.5322,BS5,35.5604,BS5,35.5693,OJAI4,35.5793
BS5,34.5542,BS5,34.5948,NA,NA,BS5,34.5762,NA,NA,PLA1,34.5557,DIA6,34.6099,DIA6,34.5927,NA,NA,BS5,34.5435,DIA6,34.5857,DIA6,34.5946,BS5,34.5906
DIA6,33.5795,DIA6,33.6201,NA,NA,DIA6,33.6015,NA,NA,BS5,33.5673,WLT4,33.6493,WLT4,33.6321,NA,NA,DIA6,33.5688,WLT4,33.625,WLT4,33.634,DIA6,33.6159
WLT4,32.6189,WLT4,32.6594,NA,NA,WLT4,32.6409,NA,NA,DIA6,32.5924,MAD23,32.6981,CTW7,32.682,NA,NA,WLT4,32.6082,CTW7,32.6749,CTW7,32.6839,WLT4,32.6553
MAD23,31.662,CTW7,31.7093,NA,NA,CTW7,31.6907,NA,NA,WLT4,31.6318,CTW7,31.748,PRI5,31.7429,NA,NA,CTW7,31.6581,PRI5,31.7358,PRI5,31.7448,CTW7,31.7052
CTW7,30.7119,PRI5,30.7702,NA,NA,PRI5,30.7516,NA,NA,CTW7,30.6816,PRI5,30.8089,NAP7,30.8514,NA,NA,PRI5,30.719,PLA1,30.8062,NAP7,30.8533,PRI5,30.7661
PRI5,29.7728,PLA1,29.8406,NA,NA,NAP7,29.86,NA,NA,PRI5,29.7427,PLA1,29.8793,BEL5,29.9634,NA,NA,NAP7,29.8273,NAP7,29.9145,BEL5,29.9651,PLA1,29.8363
NAP7,28.8813,NAP7,28.9489,NA,NA,BEL5,28.972,NA,NA,NAP7,28.851,NAP7,28.9876,PLA4,29.0788,NA,NA,BEL5,28.9393,BEL5,29.0265,PLA4,29.0807,NAP7,28.9448
BEL5,27.9933,BEL5,28.0609,NA,NA,RDD5,28.0961,NA,NA,BEL5,27.963,BEL5,28.0996,FT1,28.2133,NA,NA,RDD3,28.0635,RDD5,28.1507,FT1,28.2152,BEL5,28.0568
FT1,27.1278,RDD3,27.1873,NA,NA,FT1,27.2305,NA,NA,RDD5,27.087,RDD3,27.226,HAM3,27.3495,NA,NA,FT1,27.198,FT1,27.2852,HAM2,27.3514,RDD3,27.1847
HAM3,26.2638,FT1,26.3218,NA,NA,HAM3,26.3667,NA,NA,FT1,26.2215,FT1,26.3605,RDD3,26.4874,NA,NA,HAM1,26.334,HAM1,26.4212,RDD3,26.4893,FT1,26.3192
RDD3,25.402,HAM3,25.458,NA,NA,OJAI1,25.5119,NA,NA,HAM1,25.3578,HAM3,25.4967,OJAI1,25.6326,NA,NA,OJAI1,25.4792,OJAI1,25.5664,OJAI1,25.6343,HAM1,25.4555
OJAI1,24.547,OJAI1,24.603,NA,NA,MAD10,24.6749,NA,NA,OJAI1,24.5028,OJAI1,24.6417,CHE102x,24.8048,NA,NA,CHE102x,24.6514,CHE102x,24.7386,CHE102x,24.8067,OJAI1,24.6004
CHE102x,23.7191,CHE102x,23.7752,NA,NA,CHE102x,23.8473,NA,NA,CHE102x,23.6751,CHE102x,23.8139,LAY10,23.9874,NA,NA,LAY10,23.834,LAY10,23.9212,LAY10,23.9893,CHE102x,23.7726
LAY10,22.902,LAY10,22.9579,NA,NA,LAY10,23.0299,NA,NA,LAY10,22.8578,LAY10,22.9966,CD161,23.1902,NA,NA,SUG7,23.038,SUG7,23.1252,SUG7,23.1933,LAY10,22.9553
CD161,22.1053,SUG7,22.1619,NA,NA,SUG7,22.2339,NA,NA,SUG7,22.0617,SUG7,22.2006,SUG7,22.3942,NA,NA,CD161,22.2453,CD161,22.3345,CD161,22.3977,CD161,22.1586
SUG7,21.3091,CD161,21.3705,NA,NA,CD161,21.4383,NA,NA,CD161,21.2702,CD161,21.4049,MAD29,21.6228,NA,NA,SPRB,21.499,SPRB,21.5882,MAD29,21.6262,SUG7,21.3626
SPRB,20.563,SPRB,20.6242,NA,NA,SPRB,20.692,NA,NA,SPRB,20.5239,SPRB,20.6586,SPRB,20.8765,NA,NA,MRD2C,20.7886,MRD2C,20.8781,SPRB,20.8799,SPRB,20.6163
MRD2C,19.8526,MRD2C,19.9138,NA,NA,MRD2C,19.9816,NA,NA,MRD2C,19.8136,MRD2C,19.9484,MRD2C,20.1662,NA,NA,MAD23,20.1445,MAD23,20.2183,MRD2C,20.1696,MRD2C,19.9061
MER8,19.2258,MER8,19.2871,NA,NA,MER8,19.3548,NA,NA,MER8,19.1868,MER8,19.3216,MER8,19.5394,NA,NA,MER8,19.5177,MER8,19.5915,MER8,19.5428,MER8,19.2793
NIC10,18.6089,NIC10,18.6701,NA,NA,NIC10,18.738,NA,NA,NIC10,18.57,NIC10,18.7047,NIC10,18.9224,NA,NA,NIC10,18.9009,NIC10,18.9747,NIC10,18.926,NIC10,18.6624
CVB3,18.0003,CVB3,18.0616,NA,NA,CVB3,18.1293,NA,NA,CVB3,17.9615,CVB3,18.0961,CVB3,18.3139,NA,NA,CVB3,18.2924,CVB3,18.366,CVB3,18.3173,CVB3,18.0538
MOH8,17.4014,MOH8,17.4696,NA,NA,MOH8,17.5304,NA,NA,MOH8,17.3693,MOH8,17.504,MOH8,17.7219,NA,NA,MOH8,17.6933,MOH8,17.7671,MOH8,17.7184,MOH8,17.4549
HAT4,16.8142,HAT4,16.8824,NA,NA,HAT4,16.9432,NA,NA,HAT4,16.7821,HAT4,16.9168,HAT4,17.1347,NA,NA,HAT4,17.1061,MAD10,17.1799,HAT4,17.1312,HAT4,16.8677
UKI7,16.2329,UKI7,16.301,NA,NA,UKI7,16.3619,NA,NA,UKI7,16.2007,UKI7,16.3356,UKI7,16.5533,NA,NA,UKI7,16.5249,HAT4,16.5927,UKI7,16.5499,UKI7,16.2864
PAT3,15.6591,PAT3,15.7272,NA,NA,PAT3,15.7883,NA,NA,PAT3,15.6271,PAT3,15.7618,PAT3,15.9795,NA,NA,PAT3,15.9512,UKI7,16.0114,PAT3,15.9763,PAT3,15.7126
