siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_10...9,areaCoverage_10...10,siteID_4,areaCoverage_4,siteID_10...13,areaCoverage_10...14,siteID_5,areaCoverage_5,siteID_10...17,areaCoverage_10...18,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...27,areaCoverage_10...28,siteID_9,areaCoverage_9,siteID_10...31,areaCoverage_10...32,siteID_10...33,areaCoverage_10...34
NAP8,96.5149,NA,NA,CEN7,96.3625,CEN7,96.3625,NA,NA,CEN1,96.3889,NA,NA,MAD46,96.3231,NA,NA,CEN7,96.3625,NA,NA,MER2,96.516,MAD44,96.3342,NA,NA,CEN7,96.3625,NA,NA,NAP8,96.5149
MAD44,92.8499,NA,NA,NAP7,92.8935,PEN8,92.9351,NA,NA,MER3,92.9066,NA,NA,PEN9,92.8936,NA,NA,PEN8,92.9351,NA,NA,MAD45,92.8493,NAP3,92.8739,NA,NA,NAP7,92.8935,NA,NA,MER3,93.0326
PEN6,89.4253,NA,NA,PEN7,89.4689,NAP3,89.4748,NA,NA,NAP6,89.4365,NA,NA,MER5,89.5164,NA,NA,MER6,89.5568,NA,NA,PEN9,89.4199,MER3,89.3916,NA,NA,PEN2,89.4723,NA,NA,CEN2,89.412
MER2,85.9421,NA,NA,ANG2,86.1264,MER5,86.0975,NA,NA,ANG5,86.0864,NA,NA,NAP2,86.2002,NA,NA,NAP7,86.0879,NA,NA,NAP4,85.9457,ANG5,86.0415,NA,NA,MER6,86.0941,NA,NA,ANG2,86.0695
ANG2,82.5996,NA,NA,MER2,82.6431,ION2,82.9691,NA,NA,PEN8,82.659,NA,NA,OAKB,82.9809,NA,NA,ONEC,82.8484,NA,NA,ION3,82.8179,OAKA,82.8221,NA,NA,ONEC,82.8545,NA,NA,PEN2,82.6483
CTW6,79.5005,NA,NA,ONEC,79.4036,ANG2,79.8512,NA,NA,CTW7,79.5567,NA,NA,SON2,79.8528,NA,NA,ION5,79.722,NA,NA,SON1,79.6954,CTW8,79.7052,NA,NA,ION1,79.726,NA,NA,CTW6,79.5492
ONED,76.2735,NA,NA,HEA1,76.4644,MCL7,76.7813,NA,NA,MCL7,76.4869,NA,NA,CTW7,76.7505,NA,NA,SON2,76.5941,NA,NA,MCL7,76.6255,PEN10,76.274,NA,NA,SON1,76.5968,NA,NA,OAKA,76.314
MCL2,73.2099,NA,NA,CTW7,73.3622,ONED,73.5543,NA,NA,DAN2,73.6197,NA,NA,ION3,73.6227,NA,NA,CTW7,73.4919,NA,NA,CTW2,73.5694,MCL4,73.2046,NA,NA,MCL4,73.5274,NA,NA,MDT6,73.3838
ION1,70.3056,NA,NA,MCL4,70.396,HEA5,70.7336,NA,NA,OAKA,70.3845,NA,NA,MCL2,70.5591,NA,NA,DAN2,70.6247,NA,NA,OAKB,70.3483,ION3,70.2987,NA,NA,PLA1,70.705,NA,NA,HAM24,70.647
HEA5,67.4819,NA,NA,ION3,67.4952,ORO4,67.956,NA,NA,HEA8,67.5521,NA,NA,ORO4,67.7881,NA,NA,MCL4,67.5553,NA,NA,HAM24,67.6115,HEA1,67.4628,NA,NA,HEA1,67.8692,NA,NA,ORO4,67.8545
HAM24,64.7451,NA,NA,HAM21,64.7706,HAM24,65.2192,NA,NA,ORO4,64.7744,NA,NA,HAM19,65.0703,NA,NA,HEA8,64.7208,NA,NA,CHI7,65.1126,HAM21,64.7381,NA,NA,HAM15,65.1534,NA,NA,ALH2,65.1334
ALH7,62.1241,NA,NA,ORO4,62.0118,DIA1,62.7423,NA,NA,ION2,61.8654,NA,NA,HEA5,62.2466,NA,NA,HAM21,61.9961,NA,NA,DIA1,62.633,CHI8,62.263,NA,NA,CHI8,62.6782,NA,NA,ION2,62.2296
CHI2,59.6513,NA,NA,ALH1,59.5415,PLA3,60.2654,NA,NA,HAM17,59.1503,NA,NA,MOD5,60.2567,NA,NA,CHI3,59.5245,NA,NA,SUG7,60.4097,DIA8,59.7971,NA,NA,ALH2,60.255,NA,NA,CRE1,60.1503
FOL7,57.6696,NA,NA,CRE2,57.4666,CTW6,58.1554,NA,NA,DIA1,56.6734,NA,NA,DIA6,57.7925,NA,NA,DIA1,57.041,NA,NA,ORO2,58.3433,ALH3,57.7167,NA,NA,DIA1,57.7784,NA,NA,FOL1,58.072
UKI4,55.724,NA,NA,FOL6,55.4831,ALH1,56.0274,NA,NA,UKI3,54.7266,NA,NA,LYN2,55.8852,NA,NA,UKI3,55.0943,NA,NA,ALH5,56.228,CRE2,55.6418,NA,NA,CRE3,55.8084,NA,NA,UKI7,56.1986
DIA1,53.8215,NA,NA,UKI7,53.6096,UKI4,54.0817,NA,NA,CRE3,52.7566,NA,NA,ALH4,53.9818,NA,NA,ORO4,52.9813,NA,NA,HEA5,54.2161,FT9,53.776,NA,NA,SUN7,53.9337,NA,NA,FT9,54.3328
