siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_10...11,areaCoverage_10...12,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...19,areaCoverage_10...20,siteID_9,areaCoverage_9,siteID_10...23,areaCoverage_10...24
CAS7,29.3175,CAS2,29.2786,CAS2,29.2786,CAS4,29.3132,DIA6,29.1193,NA,NA,CAS2,29.2786,OKG6,29.6514,DIA1,29.1222,NA,NA,CAS2,29.2786,CAS7,29.3175
CHE922,9.3296,CD165,9.2283,CR121,9.2283,CHE102x,9.3169,MF33,1.5961,NA,NA,CR121,9.2283,CR123,5.4893,MF31,1.5436,NA,NA,CD165,9.2283,CD166,9.3311
CLO2,0.0297,CHI8,0.0313,CLO2,0.0313,CHI3,0.0274,NA,NA,NA,NA,CLO3,0.0313,CLO2,0.0313,NA,NA,NA,NA,CLO3,0.0313,CLO2,0.0313
