siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_10...15,areaCoverage_10...16,siteID_5,areaCoverage_5,siteID_10...19,areaCoverage_10...20,siteID_6,areaCoverage_6,siteID_10...23,areaCoverage_10...24,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
CLC3,67.9806,NA,NA,CLC3,67.9806,NA,NA,CLC3,67.9806,NA,NA,CDR4,67.9806,NA,NA,CLC4,67.9806,NA,NA,MIY2,67.9806,NA,NA,CDR2,67.9806,EAF3,67.9806,NA,NA,CLC2,67.9806,NA,NA,LMC17,67.9806
EAF3,66.2958,NA,NA,NOF1,66.2958,NA,NA,EAF3,66.2958,NA,NA,CLC2,66.2958,NA,NA,EAF2,66.2958,NA,NA,FHS1,66.2958,NA,NA,CLC2,66.2958,KAP1,66.2958,NA,NA,FRC1,66.2958,NA,NA,CLC4,66.2958
CDR5,64.6107,NA,NA,CDR2,64.6107,NA,NA,FHS1,64.6107,NA,NA,EAF3,64.6107,NA,NA,TBR2,64.6107,NA,NA,KLM23,64.6107,NA,NA,EAF3,64.6107,FHS1,64.6107,NA,NA,CDR4,64.6107,NA,NA,FHS3,64.6107
FHS1,62.9257,NA,NA,RGR15,62.9257,NA,NA,CDR4,62.9257,NA,NA,KAP1,62.9257,NA,NA,MED1,62.9257,NA,NA,CLC2,62.9257,NA,NA,FHS1,62.9257,WMO2,62.9257,NA,NA,FHS3,62.9257,NA,NA,CDR5,62.9257
ASK6,61.2406,NA,NA,FHS3,61.2406,NA,NA,16_ALP_109_N1,61.2406,NA,NA,RGR15,61.2406,NA,NA,MIF1,61.2406,NA,NA,EAF3,61.2406,NA,NA,WMO3,61.2406,SCS2,61.2406,NA,NA,WMO2,61.2406,NA,NA,CAN68,61.2557
OZF10,59.5825,NA,NA,WMO2,59.5558,NA,NA,THR21,59.5707,NA,NA,FHS3,59.5558,NA,NA,FHS3,59.5558,NA,NA,IM6,59.5683,NA,NA,THR21,59.5707,MIF1,59.5558,NA,NA,THR21,59.5707,NA,NA,WMO2,59.5707
THR21,57.9125,NA,NA,MIY3,57.8707,NA,NA,CAN68,57.9007,NA,NA,WMO3,57.8707,NA,NA,IM6,57.8832,NA,NA,M2L4,57.9304,NA,NA,IM10,57.8983,OZF9,57.8977,NA,NA,OZF10,57.9125,NA,NA,OZF9,57.9125
KAP1,56.2275,NA,NA,OZF9,56.2126,NA,NA,IM10,56.2281,NA,NA,KLM23,56.1857,NA,NA,CAN68,56.2133,NA,NA,RGR15,56.2456,NA,NA,KLM23,56.2133,HOC25,56.2645,NA,NA,IM10,56.2402,NA,NA,NOF1,56.2275
MIF1,54.5427,NA,NA,THR21,54.5427,NA,NA,WMO2,54.5433,NA,NA,M2L4,54.548,NA,NA,WMO3,54.5282,NA,NA,CAN68,54.5754,NA,NA,IHR8,54.5282,IM6,54.5922,NA,NA,EAF3,54.5551,NA,NA,THR21,54.5575
WMO3,52.8576,NA,NA,HOC25,52.9095,NA,NA,M2L4,52.9054,NA,NA,OZF10,52.8899,NA,NA,FRC1,52.8432,NA,NA,WMO3,52.8906,NA,NA,M2L4,52.8906,16_FPA_44_N1,52.9815,NA,NA,NOF1,52.8701,NA,NA,HOC26,52.9246
