siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905,THR21,49.4905
OZF10,47.8324,OZF9,47.8324,OZF10,47.8324,OZF9,47.8324,OZF9,47.8324,OZF10,47.8324,OZF9,47.8324,OZF10,47.8324,OZF10,47.8324,OZF10,47.8324
M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945,M2L4,46.1945
HOC17,44.5614,HOC17,44.5614,HOC17,44.5614,HOC17,44.5614,HOC25,44.5614,HOC17,44.5614,HOC26,44.5614,HOC26,44.5614,HOC25,44.5614,HOC25,44.5614
16_FPA_22_N1,42.9506,16_FPA_44_N1,42.9506,16_FPA_26_N1,42.9506,16_FPA_26_N1,42.9506,16_FPA_44_N1,42.9506,16_FPA_26_N1,42.9506,16_FPA_26_N1,42.9506,16_FPA_22_N1,42.9506,16_FPA_22_N1,42.9506,16_FPA_22_N1,42.9506
SHC1,41.343,SHC1,41.343,SHC1,41.343,SHC2,41.343,SHC1,41.343,SHC1,41.343,SHC1,41.343,SHC2,41.343,SHC1,41.343,SHC2,41.343
TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782,TAR3,39.782
HAM19,38.261,HAM6,38.261,HAM19,38.261,HAM102,38.261,HAM6,38.261,HAM102,38.261,HAM6,38.261,HAM102,38.261,HAM102,38.261,HAM102,38.261
CVG10,36.7586,CVG10,36.7586,CVG10,36.7586,CVG19,36.7586,CVG10,36.7586,CVG10,36.7586,CVG10,36.7586,CVG10,36.7586,CVG19,36.7586,CVG19,36.7586
16_UNA_1_N1,35.2661,16_UNA_2_N1,35.2661,16_UNA_3_N1,35.2661,16_UNA_3_N1,35.2661,16_UNA_3_N1,35.2661,16_UNA_1_N1,35.2661,16_UNA_1_N1,35.2661,16_UNA_1_N1,35.2661,16_UNA_1_N1,35.2661,16_UNA_1_N1,35.2661
