siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
SWC24,98.0034,TRR2,98.0034,NFE1,98.0034,SCS2,98.0034,LCC2,98.0034,SCS1,98.0034,MIF1,98.0034,FRC2,98.0034,NFE2,98.0034,IHR8,98.0034
BSR26,96.0073,LCC1,96.0073,SCS1,96.0073,LMC12,96.0073,SWC17,96.0073,CDR4,96.0073,RGR15,96.0073,CDR4,96.0073,NOF1,96.0073,LOR25,96.0073
KLM25,94.0112,CAC1,94.0112,MIF1,94.0112,NOF1,94.0112,NFE2,94.0112,LMC17,94.0112,SWC18,94.0112,LOR29,94.0112,KAP1,94.0112,FRC2,94.0112
CDR2,92.0151,NFE2,92.0151,CAC1,92.0151,KLM23,92.0151,TRR3,92.0151,LOR25,92.0151,BSR21,92.0151,IHR20,92.0151,LCC2,92.0151,NFE2,92.0151
CAC1,90.019,FRC2,90.019,BSR21,90.019,LCC3,90.019,CDR4,90.019,KLM23,90.019,FRC1,90.019,LMC17,90.019,KLM23,90.019,TRR3,90.019
TBR2,88.0229,SWC17,88.0229,SWC18,88.0229,FRC2,88.0229,BSR21,88.0229,RGR15,88.0229,CLC3,88.0229,TBR2,88.0229,CDR5,88.0229,CLC3,88.0229
SCS2,86.0269,NOF1,86.0269,LCC3,86.0269,CDR2,86.0269,SCS2,86.0269,NFE3,86.0269,LCC1,86.0269,SWC17,86.0269,FRC3,86.0269,SWC17,86.0269
LMC22,84.0308,LOR17,84.0308,LMC12,84.0308,TBR1,84.0308,LOR29,84.0308,CAC1,84.0308,IHR8,84.0308,LCC2,84.0308,SCS1,84.0308,NOF1,84.0308
LCC3,82.0346,TBR2,82.0346,CDR2,82.0346,BSR26,82.0346,FRC2,82.0346,TBR2,82.0346,TBR1,82.0346,BSR132,82.0346,IHR8,82.0346,MIF1,82.0346
NOF1,80.0385,CLC3,80.0385,RGR15,80.0385,CAC1,80.0385,MIF1,80.0385,FRC1,80.0385,NOF1,80.0385,KLM25,80.0385,LMC12,80.0385,BSR132,80.0385
LOR17,78.0424,BSR21,78.0424,FRC2,78.0424,LOR25,78.0424,NOF1,78.0424,KAP1,78.0424,KLM25,78.0424,SCS1,78.0424,BSR132,78.0424,LMC17,78.0424
FRC2,76.0463,SCS2,76.0463,LOR25,76.0463,SWC17,76.0463,LMC22,76.0463,SWC18,76.0463,SCS2,76.0463,KAP1,76.0463,SWC18,76.0463,RGR15,76.0463
NFE2,74.0502,RGR15,74.0502,TRR3,74.0502,NFE1,74.0502,IHR20,74.0502,BSR26,74.0502,LMC17,74.0502,RGR15,74.0502,TBR2,74.0502,SCS1,74.0502
MIF1,72.0541,LMC17,72.0541,TBR1,72.0541,RGR15,72.0541,KAP1,72.0541,MIF1,72.0541,KAP1,72.0541,NFE3,72.0541,LOR25,72.0541,LCC3,72.0541
KAP1,70.058,KAP1,70.058,KAP1,70.058,KAP1,70.058,TBR2,70.058,NOF1,70.058,NFE2,70.058,NOF1,70.058,MIF1,70.058,TBR2,70.058
RGR15,68.0619,MIF1,68.0619,NOF1,68.0619,MIF1,68.0619,RGR15,68.0619,LCC1,68.0619,LOR25,68.0619,MIF1,68.0619,RGR15,68.0619,KAP1,68.0619
EAF3,66.0708,EAF2,66.0708,EAF3,66.0708,EAF3,66.0708,EAF2,66.0708,EAF3,66.0708,EAF3,66.0708,EAF3,66.0708,EAF2,66.0708,EAF3,66.0708
IHR20,64.0913,IHR20,64.0913,IHR20,64.0913,IHR20,64.0913,CAC2,64.0913,IHR8,64.0913,CAC2,64.0913,CAC2,64.0913,CAC2,64.0913,CAC1,64.0913
TRR1,62.114,KLM25,62.114,KLM23,62.114,TRR1,62.114,KLM23,62.114,TRR3,62.114,TRR3,62.114,TRR3,62.114,TRR2,62.114,KLM25,62.114
16_MFM_107_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_200_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_107_N1,60.1443,16_MFM_200_N1,60.1443,16_MFM_200_N1,60.1443
ASK5,58.1824,ASK4,58.1824,ASK5,58.1824,ASK6,58.1824,ASK5,58.1824,ASK6,58.1824,ASK4,58.1824,ASK5,58.1824,ASK4,58.1824,ASK6,58.1824
MIY2,56.2474,MIY2,56.2474,MIY3,56.2474,MIY2,56.2474,MIY2,56.2474,MIY1,56.2474,MIY1,56.2474,MIY3,56.2474,MIY1,56.2474,MIY2,56.2474
MED1,54.3288,MED3,54.3288,MED3,54.3288,MED3,54.3288,MED1,54.3288,MED3,54.3288,MED3,54.3288,MED3,54.3288,MED3,54.3288,MED3,54.3288
TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672,TAR3,52.4672
CLC2,50.6131,CDR5,50.6131,CLC3,50.6131,CLC2,50.6131,CLC4,50.6131,CLC4,50.6131,CDR2,50.6131,CLC4,50.6131,CLC3,50.6131,CDR4,50.6131
FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141,FEV11,48.9141
16_FPA_44_N1,47.2209,16_FPA_44_N1,47.2209,16_FPA_44_N1,47.2209,16_FPA_44_N1,47.2209,16_FPA_44_N1,47.2209,16_FPA_44_N1,47.2209,16_FPA_22_N1,47.2209,16_FPA_22_N1,47.2209,16_FPA_26_N1,47.2209,16_FPA_44_N1,47.2209
HOC17,45.533,HOC25,45.533,HOC17,45.533,HOC26,45.533,HOC26,45.533,HOC26,45.533,HOC26,45.533,HOC17,45.533,HOC26,45.533,HOC26,45.533
M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9,M2L4,43.9
THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723,THR21,42.2723
16_ICY_903_N1,40.6561,16_ICY_901_N1,40.6561,16_ICY_901_N1,40.6561,16_ICY_904_N1,40.6561,16_ICY_904_N1,40.6561,16_ICY_901_N1,40.6561,16_ICY_903_N1,40.6561,16_ICY_904_N1,40.6561,16_ICY_901_N1,40.6561,16_ICY_904_N1,40.6561
OZF9,39.0491,OZF9,39.0491,OZF10,39.0491,OZF9,39.0491,OZF10,39.0491,OZF10,39.0491,OZF10,39.0491,OZF10,39.0491,OZF9,39.0491,OZF9,39.0491
WMO2,37.4629,WMO2,37.4629,WMO2,37.4629,WMO2,37.4629,WMO3,37.4629,WMO3,37.4629,WMO3,37.4629,WMO3,37.4629,WMO2,37.4629,WMO3,37.4629
FHS2,35.8878,FHS2,35.8878,FHS2,35.8878,FHS2,35.8878,FHS3,35.8878,FHS2,35.8878,FHS1,35.8878,FHS3,35.8878,FHS2,35.8878,FHS1,35.8878
CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469,CAN68,34.3469
SHC1,32.8514,SHC2,32.8514,SHC1,32.8514,SHC2,32.8514,SHC1,32.8514,SHC1,32.8514,SHC1,32.8514,SHC2,32.8514,SHC1,32.8514,SHC1,32.8514
