siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
CAC2,96.1505,CAC2,96.1505,CAC2,96.1505,CAC1,96.1505,CAC1,96.1505,CAC2,96.1505,CAC1,96.1505,CAC1,96.1505,CAC2,96.1505,CAC2,96.1505
NFE3,92.3143,NFE2,92.3143,NFE3,92.3143,NFE3,92.3143,NFE1,92.3143,NFE1,92.3143,NFE3,92.3143,NFE3,92.3143,NFE2,92.3143,NFE2,92.3143
KLM23,88.5868,KLM25,88.5868,KLM25,88.5868,KLM25,88.5868,KLM23,88.5868,KLM25,88.5868,KLM25,88.5868,KLM25,88.5868,KLM23,88.5868,KLM23,88.5868
LCC1,85.2993,LCC3,85.2993,LCC1,85.2993,LCC2,85.2993,LCC3,85.2993,LCC1,85.2993,LCC2,85.2993,LCC2,85.2993,LCC1,85.2993,LCC2,85.2993
KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388,KAP1,82.0388
LMC22,78.8209,LMC12,78.8209,LMC17,78.8209,LMC22,78.8209,LMC22,78.8209,LMC17,78.8209,LMC22,78.8209,LMC12,78.8209,LMC12,78.8209,LMC22,78.8209
FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383,FEV11,75.6383
EAF2,72.5029,EAF2,72.5029,EAF3,72.5029,EAF3,72.5029,EAF3,72.5029,EAF3,72.5029,EAF3,72.5029,EAF2,72.5029,EAF3,72.5029,EAF2,72.5029
CLC3,69.5477,CLC2,69.5477,CLC4,69.5477,CLC3,69.5477,CLC2,69.5477,CLC2,69.5477,CLC2,69.5477,CLC3,69.5477,CLC2,69.5477,CLC2,69.5477
FRC1,66.5979,FRC1,66.5979,FRC2,66.5979,FRC3,66.5979,FRC1,66.5979,FRC2,66.5979,FRC3,66.5979,FRC3,66.5979,FRC2,66.5979,FRC2,66.5979
RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773,RGR15,63.773
MIY3,61.0774,MIY3,61.0774,MIY1,61.0774,MIY3,61.0774,MIY3,61.0774,MIY1,61.0774,MIY2,61.0774,MIY2,61.0774,MIY1,61.0774,MIY2,61.0774
PCL20,58.4538,PCL20,58.4538,PCL3,58.4538,PCL3,58.4538,PCL3,58.4538,PCL3,58.4538,PCL3,58.4538,PCL3,58.4538,PCL3,58.4538,PCL20,58.4538
SWC18,55.936,SWC24,55.936,SWC18,55.936,SWC24,55.936,SWC18,55.936,SWC18,55.936,SWC18,55.936,SWC17,55.936,SWC17,55.936,SWC18,55.936
MED3,53.4192,MED1,53.4192,MED1,53.4192,MED1,53.4192,MED3,53.4192,MED3,53.4192,MED3,53.4192,MED1,53.4192,MED3,53.4192,MED1,53.4192
M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256,M2L4,50.9256
ASK6,48.4679,ASK5,48.4679,ASK6,48.4679,ASK5,48.4679,ASK5,48.4679,ASK5,48.4679,ASK6,48.4679,ASK4,48.4679,ASK4,48.4679,ASK5,48.4679
BSR21,46.0777,BSR26,46.0777,BSR131,46.0777,BSR131,46.0777,BSR26,46.0777,BSR26,46.0777,BSR131,46.0777,BSR131,46.0777,BSR131,46.0777,BSR132,46.0777
16_ANT_107_N1,43.7264,16_ANT_107_N1,43.7264,16_ANT_106_N1,43.7264,16_ANT_106_N1,43.7264,16_ANT_102_N1,43.7264,16_ANT_107_N1,43.7264,16_ANT_106_N1,43.7264,16_ANT_106_N1,43.7264,16_ANT_107_N1,43.7264,16_ANT_106_N1,43.7264
TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269,TAR3,41.5269
WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837,WPV2,39.3837
LOR29,37.2482,LOR25,37.2482,LOR29,37.2482,LOR25,37.2482,LOR29,37.2482,LOR17,37.2482,LOR17,37.2482,LOR29,37.2482,LOR25,37.2482,LOR29,37.2482
HAM102,35.1827,HAM6,35.1827,HAM19,35.1827,HAM6,35.1827,HAM6,35.1827,HAM6,35.1827,HAM6,35.1827,HAM6,35.1827,HAM6,35.1827,HAM6,35.1827
16_OSO_2_N1,33.3027,16_OSO_3_N1,33.3027,16_OSO_3_N1,33.3027,16_OSO_3_N1,33.3027,16_OSO_4_N1,33.3027,16_OSO_2_N1,33.3027,16_OSO_4_N1,33.3027,16_OSO_3_N1,33.3027,16_OSO_2_N1,33.3027,16_OSO_2_N1,33.3027
STB18,31.4353,STB7,31.4353,STB7,31.4353,STB7,31.4353,STB18,31.4353,STB18,31.4353,STB7,31.4353,STB18,31.4353,STB7,31.4353,STB18,31.4353
NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101,NOF1,29.6101
CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033,CAN68,27.8033
13_VFC_4_N2,26.0377,13_VFC_1_N1,26.0377,13_VFC_2_N1,26.0377,13_VFC_2_N1,26.0377,13_VFC_1_N1,26.0377,13_VFC_4_N2,26.0377,13_VFC_4_N2,26.0377,13_VFC_2_N1,26.0377,13_VFC_4_N1,26.0377,13_VFC_1_N1,26.0377
WMO3,24.3625,WMO2,24.3625,WMO3,24.3625,WMO2,24.3625,WMO2,24.3625,WMO2,24.3625,WMO3,24.3625,WMO3,24.3625,WMO2,24.3625,WMO3,24.3625
FHS3,22.6942,FHS3,22.6942,FHS2,22.6942,FHS1,22.6942,FHS3,22.6942,FHS2,22.6942,FHS2,22.6942,FHS3,22.6942,FHS1,22.6942,FHS2,22.6942
RFA12,21.2182,RFA12,21.2182,RFA3,21.2182,RFA12,21.2182,RFA12,21.2182,RFA12,21.2182,RFA12,21.2182,RFA12,21.2182,RFA3,21.2182,RFA3,21.2182
16_FPA_44_N1,19.762,16_FPA_22_N1,19.762,16_FPA_22_N1,19.762,16_FPA_44_N1,19.762,16_FPA_22_N1,19.762,16_FPA_26_N1,19.762,16_FPA_44_N1,19.762,16_FPA_26_N1,19.762,16_FPA_26_N1,19.762,16_FPA_22_N1,19.762
16_PTR_6_N1,18.3824,16_PTR_5_A3,18.3824,16_PTR_5_A3,18.3824,16_PTR_6_N1,18.3824,16_PTR_5_N2,18.3824,16_PTR_6_N1,18.3824,16_PTR_6_N1,18.3824,16_PTR_5_A3,18.3824,16_PTR_8_N1,18.3824,16_PTR_5_A3,18.3824
16_CTA_26_N1,17.0534,16_CTA_28_N1,17.0534,16_CTA_27_N1,17.0534,16_CTA_27_N1,17.0534,16_CTA_26_N1,17.0534,16_CTA_26_N1,17.0534,16_CTA_26_N1,17.0534,16_CTA_26_N1,17.0534,16_CTA_27_N1,17.0534,16_CTA_26_N1,17.0534
ORO24,15.748,ORO24,15.748,ORO24,15.748,ORO31,15.748,ORO55,15.748,ORO20,15.748,ORO24,15.748,ORO51,15.748,ORO24,15.748,ORO51,15.748
SKZ38,14.6107,SKZ27,14.6107,SKZ27,14.6107,SKZ6,14.6107,SKZ38,14.6107,SKZ6,14.6107,SKZ38,14.6107,SKZ6,14.6107,SKZ6,14.6107,SKZ6,14.6107
SGR4,13.5187,SGR2,13.5187,SGR5,13.5187,SGR2,13.5187,SGR2,13.5187,SGR2,13.5187,SGR4,13.5187,SGR2,13.5187,SGR4,13.5187,SGR5,13.5187
KIC1,12.5038,KIC1,12.5038,KIC1,12.5038,KIC2,12.5038,KIC1,12.5038,KIC3,12.5038,KIC1,12.5038,KIC3,12.5038,KIC1,12.5038,KIC1,12.5038
