siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_10...13,areaCoverage_10...14,siteID_5,areaCoverage_5,siteID_10...17,areaCoverage_10...18,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_10...25,areaCoverage_10...26,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
SGR4,16.7738,NA,NA,TAR3,14.7023,NA,NA,16_AKC_14_N1,20.1665,OSW13,16.723,NA,NA,SKZ27,18.7806,NA,NA,SKZ38,16.6461,NA,NA,KIC2,15.2111,NA,NA,SKZ38,18.6104,NA,NA,16_CTA_27_N1,16.2529,NA,NA,NOF1,16.7248
ORO24,15.4684,NA,NA,16_AKC_41_N1,13.739,NA,NA,AWP27,19.2603,16_CTA_27_N1,15.394,NA,NA,OSW13,17.8535,NA,NA,KIC3,15.6312,NA,NA,OSW13,14.284,NA,NA,KIC2,17.5954,NA,NA,OSW13,15.3259,NA,NA,M2L4,14.2312
OSW13,14.5414,NA,NA,AWP26,12.8328,NA,NA,KIC3,18.2454,16_VAL_14_N1,14.6052,NA,NA,16_AKC_41_N1,16.8903,NA,NA,OSW25,14.7042,NA,NA,SKZ27,13.1468,NA,NA,AWP27,16.6892,NA,NA,NOF1,14.1191,NA,NA,16_VAL_14_N1,13.4424
STB7,13.6839,NA,NA,SGR4,11.7408,NA,NA,M2L4,15.7517,16_AKC_14_N1,13.6419,NA,NA,SGR2,15.7982,NA,NA,16_AKC_14_N1,13.7409,NA,NA,AWP26,12.2406,NA,NA,16_OSO_3_N1,14.8092,NA,NA,AWP27,13.2129,NA,NA,THR21,12.7034
RGR15,12.808,NA,NA,KIC2,10.7259,NA,NA,OSW13,14.8247,BEL4,12.9749,NA,NA,MIF1,14.8898,NA,NA,16_VAL_13_N1,12.9521,NA,NA,16_VAL_15_N1,11.4518,NA,NA,SWB19,14.002,NA,NA,16_VAT_3_N1,12.4418,NA,NA,SGR4,11.6113
16_VAL_13_N1,12.0192,NA,NA,16_VAT_6_N1,9.9548,NA,NA,SWB19,14.0175,AWP27,12.0686,NA,NA,16_VAL_14_N1,14.101,NA,NA,KLM23,12.1234,NA,NA,16_DCR_9_N1,10.7947,NA,NA,KLM25,13.1733,NA,NA,THR21,11.7029,NA,NA,BEL4,10.9443
AWP27,11.1129,NA,NA,BEL3,9.2878,NA,NA,KLM23,13.1888,NOF1,10.8619,NA,NA,AWP26,13.1948,NA,NA,SGR2,11.0314,NA,NA,16_CTA_27_N1,9.4657,NA,NA,OSW13,12.2463,NA,NA,RGR15,10.8577,NA,NA,16_DCR_9_N1,10.2872
BEL1,10.4459,NA,NA,WKY1,8.6444,NA,NA,16_VAT_6_N1,12.4178,RGR15,10.0168,NA,NA,NOF1,11.8328,NA,NA,AWP26,10.1252,NA,NA,BEL1,8.7986,NA,NA,16_AKC_14_N1,11.283,NA,NA,BEL3,10.1907,NA,NA,CAC1,9.5799
16_DCR_9_N1,9.7888,NA,NA,OSW25,7.7174,NA,NA,WKY3,11.7744,SGR5,8.9247,NA,NA,RGR15,10.9877,NA,NA,CAC1,9.4179,NA,NA,TSG24,8.2424,NA,NA,16_VAT_3_N1,10.512,NA,NA,16_AKC_14_N1,9.2274,NA,NA,AWP26,8.6737
TSG21,9.2325,NA,NA,TSG24,7.1611,NA,NA,16_DCR_10_N1,11.1173,16_DCR_10_N1,8.2676,NA,NA,WKY3,10.3443,NA,NA,WKY3,8.7745,NA,NA,03_V153408_N2,7.7127,NA,NA,WKY2,9.8686,NA,NA,WKY2,8.5841,NA,NA,TSG25,8.1174
WKY2,8.5892,NA,NA,03_V153408_N1,6.6315,NA,NA,TSG21,10.5611,WKY1,7.6243,NA,NA,TAR3,8.2381,NA,NA,THR21,8.177,NA,NA,SHC1,7.18,NA,NA,16_DCR_10_N1,9.2116,NA,NA,TSG25,8.0278,NA,NA,SHC1,7.5847
16_CTA_26_N1,7.2602,NA,NA,CVG10,6.1379,NA,NA,WPV2,9.0302,CAC2,6.917,NA,NA,KLM25,7.4094,NA,NA,BEL4,7.6164,NA,NA,WTB18,6.7321,NA,NA,BEL3,8.651,NA,NA,16_DCR_10_N1,7.3707,NA,NA,16_AKC_41_N1,6.6214
16_SZA_86_N1,6.8137,NA,NA,16_DCR_10_N1,5.4808,NA,NA,SHC2,8.4975,03_V153408_N1,6.3873,NA,NA,SHC2,6.8767,NA,NA,TSG21,7.0601,NA,NA,16_SDP_24_N1,6.3227,NA,NA,WPV2,7.1201,NA,NA,CAC2,6.6634,NA,NA,03_V153408_N2,6.0917
03_V153408_N1,6.2841,NA,NA,16_SZA_90_N1,5.0343,NA,NA,NOF1,7.2907,CVG19,5.8937,NA,NA,16_DCR_9_N1,6.2196,NA,NA,SHC2,6.5274,NA,NA,NKL15,5.8918,NA,NA,TSG24,6.5638,NA,NA,03_V153408_N1,6.1337,NA,NA,WTB16,5.6438
NKL2,5.8531,NA,NA,MIF1,4.589,NA,NA,03_V153408_N2,6.761,SHC2,5.361,NA,NA,TSG24,5.6633,NA,NA,MIF1,6.0726,NA,NA,16_AKC_14_N1,4.9286,NA,NA,03_V153408_N3,6.0342,NA,NA,SGR2,5.0417,NA,NA,OSW25,4.7168
16_AKC_14_N1,4.8899,NA,NA,NA,NA,NA,NA,BEL4,6.2004,NKL15,4.9301,NA,NA,BEL1,5.1028,NA,NA,03_V153408_N1,5.5429,NA,NA,NA,NA,NA,NA,SHC2,5.5014,NA,NA,CVG10,4.5481,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,CAC2,5.4931,NA,NA,NA,NA,THR21,4.5012,NA,NA,NOF1,4.4396,NA,NA,NA,NA,NA,NA,THR21,4.7624,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,WTB18,5.0452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,16_SDP_24_N1,4.6359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
