id,area,area_removed
16_SLS_46_N1,NA,NA
02_V142998_7_N2,NA,NA
IM6,NA,NA
16_DHS_22_A2,NA,NA
02_V142998_7_N1,NA,NA
16_FOS_4_N1,NA,NA
SWB19,NA,NA
ORO55,NA,NA
16_VPT_5_N1,NA,NA
MIF1,NA,NA
SGR5,NA,NA
13_VFC_2_N1,NA,NA
OPB29,NA,NA
MIY3,NA,NA
00_ATT_N3,NA,NA
16_ZEN_4_N1,NA,NA
16_PTL_7_E,NA,NA
HOC25,NA,NA
16_CTA_28_N1,NA,NA
16_DHS_22_N1_B,NA,NA
CAC1,NA,NA
16_ZEN_1_N1,NA,NA
MUG3,NA,NA
16_FOS_2_N1,NA,NA
SKZ38,NA,NA
MCB4,NA,NA
SWB38,NA,NA
16_VAL_14_N1,NA,NA
CLC3,NA,NA
WKY3,NA,NA
00_ATT_N1,NA,NA
16_UNA_1_A5,NA,NA
16_PTR_5_A3,NA,NA
16_PTR_5_N1,NA,NA
16_UNA_1_N1,NA,NA
16_VCC_4_N1,NA,NA
16_PTR_6_N1,NA,NA
03_V153408_N1,NA,NA
FGP3,NA,NA
BCB30,NA,NA
ICS24,NA,NA
16_UGC_1_N1,NA,NA
YJS4,NA,NA
FHS3,NA,NA
TRR1,NA,NA
16_PTL_302_N2,NA,NA
BSR21,NA,NA
BSR26,NA,NA
NFE1,NA,NA
LCC3,NA,NA
SKZ27,NA,NA
NOF1,NA,NA
03_V153408_N2,NA,NA
SCS1,NA,NA
13_VFC_1_N1,NA,NA
16_KFC_5_N1,NA,NA
CLC2,NA,NA
