siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
LCC2,98.0034,NFE2,98.0034,SWC24,98.0034,NFE3,98.0034,LCC3,98.0034,SWC17,99.9996
BSR132,96.0073,LCC3,96.0073,SCS2,96.0073,LCC1,96.0073,IHR20,96.0073,LCC2,98.0034
CLC2,94.0112,LMC22,94.0112,NFE1,94.0112,IHR20,94.0112,SWC18,94.0112,NFE2,96.0073
KLM25,92.0151,SWC18,92.0151,CAC2,92.0151,SCS2,92.0151,LMC17,92.0151,CAC1,94.0112
FRC2,90.019,SCS1,90.019,TBR2,90.019,TRR2,90.019,TBR1,90.019,SCS2,92.0151
SWC17,88.0229,TBR1,88.0229,TRR2,88.0229,SWC17,88.0229,NFE3,88.0229,LMC22,90.019
NFE1,86.0269,TRR1,86.0269,LOR17,86.0269,BSR132,86.0269,TRR3,86.0269,TRR1,88.0229
LOR29,84.0308,CAC2,84.0308,BSR132,84.0308,KAP1,84.0308,BSR131,84.0308,LOR25,86.0269
TBR2,82.0346,BSR132,82.0346,LMC17,82.0346,LMC17,82.0346,FRC3,82.0346,TBR2,84.0308
KAP1,80.0385,FRC1,80.0385,LCC2,80.0385,FRC1,80.0385,LOR29,80.0385,FRC1,82.0346
NOF1,78.0424,CDR2,78.0424,FRC3,78.0424,TBR2,78.0424,CLC2,78.0424,KAP1,80.0385
LMC22,76.0463,MIF1,76.0463,CLC2,76.0463,NOF1,76.0463,RGR15,76.0463,RGR15,78.0424
CAC2,74.0502,KAP1,74.0502,EAF2,74.0552,LOR25,74.0502,CAC1,74.0668,CLC4,76.0463
SCS2,72.0541,EAF2,72.0591,16_MFM_200_N1,72.0854,CLC3,72.0541,EAF2,72.0757,BSR131,74.0502
RGR15,70.058,KLM25,70.0818,ASK5,70.1236,MIF1,70.058,ASK5,70.1138,16_MFM_200_N1,72.0541
MIF1,68.0619,NOF1,68.0857,KLM25,68.1464,CAC1,68.0785,MIF1,68.1178,MIF1,70.0844
EAF2,66.0708,IHR8,66.1062,IHR8,66.1668,16_MFM_200_N1,66.1088,MIY2,66.1827,IHR20,68.0883
IHR8,64.0913,ASK4,64.1444,NOF1,64.1707,KLM25,64.1315,MED3,64.2641,EAF3,66.1088
TRR1,62.114,MIY2,62.2093,TAR3,62.3091,RGR15,62.1354,KAP1,62.268,MIY1,64.1176
16_MFM_200_N1,60.1443,16_MFM_107_N1,60.2396,MED3,60.3905,MIY1,60.2003,SCS1,60.2719,CDR5,62.1826
ASK4,58.1824,LOR25,58.2435,MIY3,58.4555,ASK4,58.2385,CDR5,58.4178,KLM23,60.3285
MIY3,56.2474,16_FPA_22_N1,56.5503,MIF1,56.4594,MED3,56.3199,16_ALP_110_N1,56.5309,MED1,58.3512
MED1,54.3288,CLC2,54.6962,FEV11,54.7604,EAF2,54.3288,16_FPA_26_N1,54.8377,ASK6,56.4326
TAR3,52.4672,HOC26,53.0083,16_FPA_26_N1,53.0672,16_FPA_26_N1,52.6356,HOC17,53.1498,NOF1,54.4708
CDR5,50.6131,M2L4,51.3753,THR21,51.4395,HOC25,50.9477,M2L4,51.5168,16_FPA_22_N1,52.4747
FEV11,48.9141,MED1,49.4567,HOC17,49.7517,CDR2,49.0936,KLM23,49.5395,HOC25,50.7815
16_FPA_26_N1,47.2209,16_ICY_901_N1,47.8404,CDR5,47.8976,16_ICY_903_N1,47.4773,OZF9,47.9326,THR21,49.0936
HOC26,45.533,TAR3,45.9788,16_ICY_904_N1,46.2813,FHS1,45.9022,FHS1,46.3575,FEV11,47.466
M2L4,43.9,THR21,44.3511,WMO3,44.695,FEV11,44.2032,CAN68,44.8167,16_ICY_903_N1,45.767
THR21,42.2723,OZF9,42.7442,FHS1,43.1199,SHC1,42.7077,THR21,43.1891,M2L4,44.1507
16_ICY_903_N1,40.6561,WMO2,41.158,SHC1,41.6244,OZF10,41.1008,WMO3,41.6028,OZF10,42.5176
OZF9,39.0491,RGR15,39.1619,HAM102,40.1584,CVG10,39.6245,SHC1,40.1073,FHS2,40.9107
WMO3,37.4629,SHC1,37.6664,OZF10,38.5515,PCL20,38.1878,16_ICY_903_N1,38.491,CVG10,39.3357
FHS3,35.8878,HAM102,36.2003,KAP1,36.5554,M2L4,36.5547,CVG19,37.0147,SHC1,37.8593
CAN68,34.3469,FEV11,34.5013,CAN68,35.0145,STB18,35.1964,PCL3,35.578,STB7,36.3639
SHC2,32.8514,FHS2,32.9262,PCL3,33.5778,HAM6,33.7303,HAM19,34.1119,HAM19,35.0055
CVG19,31.3751,16_AKC_41_N1,31.6046,CVG10,32.1015,16_OSO_2_N1,32.4126,STB18,32.7535,CAN68,33.5394
HAM6,29.909,PCL20,30.1679,16_OSO_2_N1,30.7838,16_AKC_41_N1,31.091,FEV11,31.0545,WMO2,31.9986
PCL20,28.4724,STB18,28.8096,13_VFC_4_N2,29.6041,TAR3,29.2294,16_SZA_88_N1,29.7985,PCL3,30.4123
STB7,27.114,CVG19,27.3332,16_SZA_88_N1,28.348,CAN68,27.6885,16_AKC_41_N1,28.4768,16_OSO_2_N1,28.9756
16_AKC_14_N1,25.7924,16_SZA_88_N1,26.0771,03_V153408_N1,27.2008,WMO2,26.1023,TAR3,26.6152,16_SZA_88_N1,27.6578
16_OSO_3_N1,24.4747,13_VFC_4_N1,24.8973,RGR15,25.2047,16_SZA_90_N1,24.8462,16_OSO_2_N1,25.2975,13_VFC_4_N2,26.4017
16_SZA_90_N1,23.2186,WKY3,23.7317,MUG3,24.0695,13_VFC_4_N1,23.6665,WKY3,24.1318,WKY1,25.222
13_VFC_4_N1,22.0388,16_OSO_4_N1,22.414,M2L4,22.4365,THR21,22.0388,NOF1,22.1358,03_V153408_N1,24.0564
WKY3,20.8732,03_V153408_N2,21.2669,16_CTA_27_N1,21.3138,MUG3,20.9037,13_VFC_4_N1,20.956,WPV2,22.909300000000002
03_V153408_N3,19.726,BCB30,20.1139,WKY1,20.1482,16_CTA_28_N1,19.781,HEC22,19.9375,MUG3,21.8383
MUG1,18.5909,16_CTA_27_N1,18.9912,STB18,18.7898,03_V153408_N2,18.6339,03_V153408_N1,18.7904,TAR3,20.7031
16_CTA_27_N1,17.4682,16_AMS_38_N1,17.9752,HEC20,17.7713,16_AMS_32_N1,17.6179,WPV2,17.7195,16_AMS_10_N1_B,18.8415
WPV2,16.3973,SKZ27,16.9795,AWP27,16.7752,HEC22,16.5995,16_CTA_27_N1,16.596800000000002,16_CTA_26_N1,17.8256
HEC20,15.3788,MUG1,15.8443,TSG21,15.8029,SKZ27,15.6036,MUG3,15.4617,HEC22,16.7029
16_AMS_32_N1,14.3628,AWP27,14.8481,16_AMS_32_N1,14.7869,WPV2,14.5327,AWP26,14.4654,TSG21,15.6844
AWP27,13.3667,TSG24,13.8757,OPB29,13.832,GEI12,13.5691,16_AMS_10_N1_B,13.4495,SKZ6,14.7121
SKZ6,12.3709,HEC23,12.8573,WPV2,12.761,WKY1,12.4034,OPB29,12.4946,MCB2,13.7163
TSG24,11.3985,GEI12,11.8936,SKZ27,11.7652,MCB4,11.4983,TSG21,11.5223,AWP26,12.8112
GEI11,10.4349,ORO24,10.9983,16_AKC_14_N1,10.4436,AWP26,10.5022,SKZ6,10.5264,OPB6,11.815
MCB4,9.5299,16_ZEN_2_N1,10.1125,MCB2,9.5385,ORO55,9.6069,MCB4,9.6213,ORO55,10.8602
ORO24,8.6345,WPV2,9.0415,ORO24,8.6432,TSG21,8.6345,ORO24,8.726,16_PTL_7_F,9.9648
16_ZEN_1_N1,7.7486,16_VAL_13_N1,8.2689,16_PTL_7_F,7.8015,16_PTL_7_D,7.7928,16_KCG_37_N1,7.891,16_AKC_14_N1,9.1231
16_VAL_14_N1,6.9759,IM10,7.6564,16_VAL_14_N1,7.0288,16_VAT_3_N1,7.0847,16_PTL_7_F,7.0493,16_VAT_5_N1,7.8015
OSW13,6.3051,MCB2,6.7513,OSW25,6.358,OSW25,6.4139,16_VAL_13_N1,6.2766,IM6,7.0935
IM10,5.6926,16_DCR_10_N1,6.1849,16_KCG_61_N1,5.7827,16_KCG_61_N1,5.8386,ICS24,5.685,16_KCG_37_N1,6.481
16_KCG_10_N1,5.1174,16_SDP_24_N1,5.6278,IM6,5.1703,16_SDP_32_N1,5.2815,16_SDP_32_N1,5.1279,16_SDP_24_N1,5.9058
SWB19,4.5487,16_KCG_10_N1,5.0526,16_SDP_6_N1,4.6132,IM6,4.6691,KIC2,4.6945,SWB36,5.3487
NA,NA,16_ANT_102_N1,4.5748,NA,NA,NA,NA,NA,NA,NA,NA
