siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
KLM23,97.4288,KLM23,97.4288,KLM23,97.4288,KLM25,97.4288,KLM25,97.4288,KLM23,97.4288,KLM25,97.4288,KLM25,97.4288,KLM23,97.4288,KLM23,97.4288
NFE3,94.8577,NFE2,94.8577,NFE3,94.8577,NFE3,94.8577,NFE1,94.8577,NFE1,94.8577,NFE3,94.8577,NFE3,94.8577,NFE2,94.8577,NFE2,94.8577
IHR20,92.2865,IHR8,92.2865,IHR8,92.2865,IHR8,92.2865,IHR20,92.2865,IHR8,92.2865,IHR8,92.2865,IHR8,92.2865,IHR20,92.2865,IHR20,92.2865
MIY3,89.7372,MIY1,89.7372,MIY3,89.7372,MIY2,89.7372,MIY1,89.7372,MIY3,89.7372,MIY2,89.7372,MIY2,89.7372,MIY3,89.7372,MIY2,89.7372
NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924,NOF1,87.1924
CLC2,84.6677,CLC4,84.6677,CLC3,84.6677,CLC2,84.6677,CLC2,84.6677,CLC3,84.6677,CLC2,84.6677,CLC4,84.6677,CLC4,84.6677,CLC2,84.6677
SCS1,82.1441,SCS1,82.1441,SCS2,82.1441,SCS2,82.1441,SCS2,82.1441,SCS2,82.1441,SCS2,82.1441,SCS1,82.1441,SCS2,82.1441,SCS1,82.1441
LMC17,79.6665,LMC22,79.6665,LMC12,79.6665,LMC17,79.6665,LMC22,79.6665,LMC22,79.6665,LMC22,79.6665,LMC17,79.6665,LMC22,79.6665,LMC22,79.6665
ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096,ICS24,77.2096
KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055,KAP1,74.8055
TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052,TAR3,72.4052
LCC2,70.0339,LCC2,70.0339,LCC3,70.0339,LCC1,70.0339,LCC2,70.0339,LCC3,70.0339,LCC1,70.0339,LCC1,70.0339,LCC3,70.0339,LCC3,70.0339
FRC3,67.7179,FRC3,67.7179,FRC2,67.7179,FRC3,67.7179,FRC3,67.7179,FRC2,67.7179,FRC1,67.7179,FRC1,67.7179,FRC2,67.7179,FRC1,67.7179
RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229,RGR15,65.4229
BSR132,63.1321,BSR132,63.1321,BSR26,63.1321,BSR26,63.1321,BSR26,63.1321,BSR131,63.1321,BSR131,63.1321,BSR26,63.1321,BSR131,63.1321,BSR21,63.1321
SWC24,60.8598,SWC17,60.8598,SWC24,60.8598,SWC17,60.8598,SWC18,60.8598,SWC17,60.8598,SWC17,60.8598,SWC17,60.8598,SWC18,60.8598,SWC24,60.8598
EAF3,58.6939,EAF3,58.6939,EAF3,58.6939,EAF2,58.6939,EAF2,58.6939,EAF3,58.6939,EAF2,58.6939,EAF2,58.6939,EAF2,58.6939,EAF2,58.6939
ASK4,56.5487,ASK5,56.5487,ASK4,56.5487,ASK6,56.5487,ASK6,56.5487,ASK6,56.5487,ASK6,56.5487,ASK5,56.5487,ASK6,56.5487,ASK6,56.5487
PCL20,54.4336,PCL3,54.4336,PCL20,54.4336,PCL3,54.4336,PCL20,54.4336,PCL3,54.4336,PCL3,54.4336,PCL20,54.4336,PCL20,54.4336,PCL20,54.4336
LOR29,52.3266,LOR17,52.3266,LOR25,52.3266,LOR29,52.3266,LOR25,52.3266,LOR25,52.3266,LOR17,52.3266,LOR17,52.3266,LOR25,52.3266,LOR17,52.3266
MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232,MIF1,50.2232
16_ICY_901_N1,48.2541,16_ICY_903_N1,48.2541,16_ICY_901_N1,48.2541,16_ICY_904_N1,48.2541,16_ICY_904_N1,48.2541,16_ICY_904_N1,48.2541,16_ICY_903_N1,48.2541,16_ICY_904_N1,48.2541,16_ICY_903_N1,48.2541,16_ICY_904_N1,48.2541
