siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
WKY1,73.6124,WKY1,73.6124,WKY1,73.6124,WKY3,73.6124,WKY2,73.6124,WKY1,73.6124,WKY2,73.6124,WKY3,73.6124,WKY3,73.6124,WKY3,73.6124
SWC24,56.2892,SWC18,56.2892,SWC17,56.2892,SWC17,56.2892,SWC17,56.2892,SWC18,56.2892,SWC17,56.2892,SWC17,56.2892,SWC17,56.2892,SWC17,56.2892
BEL1,40.5796,BEL4,40.5796,BEL1,40.5796,BEL3,40.5796,BEL4,40.5796,BEL1,40.5796,BEL3,40.5796,BEL3,40.5796,BEL1,40.5796,BEL1,40.5796
SGR5,32.6117,SGR4,32.6117,SGR5,32.6117,SGR2,32.6117,SGR2,32.6117,SGR5,32.6117,SGR2,32.6117,SGR5,32.6117,SGR2,32.6117,SGR2,32.6117
HAM6,24.9233,HAM19,24.9233,HAM6,24.9233,HAM102,24.9233,HAM19,24.9233,HAM102,24.9233,HAM102,24.9233,HAM102,24.9233,HAM6,24.9233,HAM19,24.9233
16_CTA_27_N1,19.2385,16_CTA_27_N1,19.2385,16_CTA_28_N1,19.2385,16_CTA_28_N1,19.2385,16_CTA_26_N1,19.2385,16_CTA_28_N1,19.2385,16_CTA_26_N1,19.2385,16_CTA_26_N1,19.2385,16_CTA_27_N1,19.2385,16_CTA_28_N1,19.2385
PCL3,15.1192,PCL3,15.1192,PCL20,15.1192,PCL20,15.1192,PCL3,15.1192,PCL3,15.1192,PCL20,15.1192,PCL3,15.1192,PCL3,15.1192,PCL3,15.1192
16_ANT_107_N1,11.2515,16_KFC_30_N1,11.2515,16_ANT_107_N1,11.2515,16_MFM_107_N1,11.2515,16_KFC_5_N1,11.2515,16_ALP_110_N1,11.2515,16_KFC_19_N1,11.2515,16_ANT_107_N1,11.2515,16_ANT_107_N1,11.2515,16_ALP_109_N1,11.2515
16_AMS_38_N1,7.9123,16_AMS_10_N1_B,7.9123,16_AMS_10_N1_B,7.9123,16_AMS_32_N1,7.9123,16_AMS_32_N1,7.9123,16_AMS_32_N1,7.9123,16_AMS_32_N1,7.9123,16_AMS_10_N1_B,7.9123,16_AMS_10_N1_B,7.9123,16_AMS_38_N1,7.9123
NKL2,5.2076,NKL15,5.2076,NKL15,5.2076,NKL2,5.2076,NKL15,5.2076,NKL15,5.2076,NKL2,5.2076,NKL2,5.2076,NKL15,5.2076,NKL2,5.2076
03_V153408_N3,2.5159,03_V153408_N1,2.5159,03_V153408_N2,2.5159,03_V153408_N3,2.5159,03_V153408_N2,2.5159,03_V153408_N1,2.5159,03_V153408_N3,2.5159,03_V153408_N1,2.5159,03_V153408_N2,2.5159,03_V153408_N1,2.5159
