id,area,area_removed
16_PTR_5_N2,NA,NA
HAM19,NA,NA
00_ATT_N3,NA,NA
16_DHS_22_N1_B,NA,NA
16_SLS_47_N1,NA,NA
16_KFC_5_N1,NA,NA
16_DHS_23_N1,NA,NA
HOC25,NA,NA
16_PTL_302_N1,NA,NA
SCS1,NA,NA
16_LAU_3_N1,NA,NA
TRR2,NA,NA
IM6,NA,NA
BOG7,NA,NA
16_AMS_38_N1,NA,NA
SGR4,NA,NA
16_PTL_302_N2,NA,NA
16_EBR_61_N1,NA,NA
16_DCR_10_N1,NA,NA
RFA3,NA,NA
NFE2,NA,NA
CAC2,NA,NA
16_UGC_2_N1,NA,NA
16_FOS_4_N1,NA,NA
OSW13,NA,NA
16_EBR_63_N1,NA,NA
BSR26,NA,NA
16_ZEN_4_N1,NA,NA
CRZ1,NA,NA
TSG21,NA,NA
MED3,NA,NA
02_V142998_7_N1,NA,NA
EAF2,NA,NA
CRZ4,NA,NA
CDR4,NA,NA
NFE3,NA,NA
16_VCC_4_N2,NA,NA
ORO31,NA,NA
16_SZA_88_N1,NA,NA
ORO55,NA,NA
16_PTR_5_N1,NA,NA
16_PEW_2_D,NA,NA
MCB2,NA,NA
TBR1,NA,NA
WMO3,NA,NA
16_FPA_26_N1,NA,NA
ALI8,NA,NA
ASK5,NA,NA
LMC12,NA,NA
HAM6,NA,NA
03_V153408_N1,NA,NA
HOC17,NA,NA
16_PTL_7_F,NA,NA
LCC2,NA,NA
16_VPT_5_N1,NA,NA
SVH5,NA,NA
GEI11,NA,NA
16_SLS_46_N1,NA,NA
16_EBR_59_N1,NA,NA
16_VAT_6_N1,NA,NA
CDR5,NA,NA
16_SLS_48_N1,NA,NA
16_VAT_3_N1,NA,NA
16_FOS_2_N1,NA,NA
16_AKC_14_N1,NA,NA
16_KFC_30_N1,NA,NA
IHR20,NA,NA
16_SDP_24_N1,NA,NA
LMC17,NA,NA
SWB36,NA,NA
KLM25,NA,NA
16_VAL_14_N1,NA,NA
BCB28,NA,NA
