siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
140000000000000,6.8481,25e15,6.9996,14e14,6.8265,25e14,6.6553,13e14,6.6535,249e27,7.5929
144e27,6.597,18999999999999998e15,6.7154,144e28,6.5754,14e16,6.4028,1e17,6.3609,14e14,7.3246
25799999999999998e17,6.3506,144e27,6.4643,177e15,6.3144,218e27,6.1726,104e13,6.1316,2980,7.0721
25e22,6.1105,186e15,6.2381,258e27,6.068,154e27,5.949,14e14,5.8791,258e32,6.8204
3e17,5.8806,18e14,6.0175,25e23,5.8279,18e16,5.7284,186e14,5.6529,25e15,6.5741
186e13,5.6544,154e27,5.7939,186e16,5.6017,940000000000000,5.513,3e17,5.423,218e28,6.334
18e15,5.4338,3e16,5.564,18e17,5.3811,163e14,5.3064,18e17,5.2024,186e15,6.1037
163e13,5.2272,163e15,5.3574,940000000000000,5.1657,229e28,5.1017,67e28,5.0057,18e14,5.875
164e13,5.0357,281e28,5.1688,147e28,4.9581,19e28,4.9064,164e13,4.8218,94e14,5.6544
184e27,4.8447,184e27,4.9777,NA,NA,NA,NA,NA,NA,184e27,5.439
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12899999999999998e15,5.248
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211e15,5.0419
