"sampleID","decimalLatitude","decimalLongitude"
"112_2",43.45983,-70.76898
"112_3",43.45983,-70.76898
"112_4",43.45983,-70.76898
"112_5",43.45983,-70.76898
"113_1",43.72995,-70.8378
"113_10",43.72995,-70.8378
"113_2",43.72995,-70.8378
"113_3",43.72995,-70.8378
"113_4",43.72995,-70.8378
"113_6",43.72995,-70.8378
"113_8",43.72995,-70.8378
"113_9",43.72995,-70.8378
"114_1",43.79543,-70.99704
"114_2",43.79543,-70.99704
"114_3",43.79543,-70.99704
"114_4",43.79543,-70.99704
"114_5",43.79543,-70.99704
"115_1",43.82967,-70.28747
"115_2",43.82967,-70.28747
"115_3",43.82967,-70.28747
"115_4",43.82967,-70.28747
"115_5",43.82967,-70.28747
